报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业收入(万元),40011,25710,12568,52742,38517,24806,11269,46966,33428,20809,9194,38918,27976,17947,8289,36906,26710,17540,8590,35308,25719,16471,7652,33861,24910,15937,7471,30326,22014,14573,6896,30309,14116,26637,20522,18010,
营业成本(万元),28537,18226,9002,37690,27335,17543,8030,34303,24522,15245,6734,28677,20594,13102,6040,26445,18967,12515,6091,25865,18705,11794,5464,23662,17248,11012,5215,20947,15120,10027,4779,20840,9812,18293,14333,12631,
营业利润(万元),4208,3004,1329,5900,4808,3480,1536,4328,3116,1986,968,3080,2511,1944,1042,3038,2537,1471,800,2700,2316,1781,850,3030,2666,1895,904,2999,2257,1586,637,4008,1908,3469,2752,1833,
利润总额(万元),4286,3051,1419,6108,4920,3574,1627,4628,3695,2397,1155,3745,3143,2130,1047,3646,2922,1839,815,2981,2430,1828,899,3793,2995,2139,1065,3608,2804,1996,885,4267,2110,4076,3202,2028,
所得税费用(万元),414,275,110,624,733,508,192,538,582,366,152,429,529,356,156,517,432,268,132,378,531,378,153,515,475,344,170,485,427,291,144,625,452,533,578,360,
净利润(万元),3872,2776,1309,5484,4187,3066,1436,4090,3113,2031,1003,3316,2614,1775,891,3129,2490,1571,683,2603,1898,1450,746,3277,2520,1795,894,3122,2376,1705,741,3642,1658,3543,2624,1668,
基本每股收益,0.15,0.11,0.05,0.22,0.17,0.12,0.06,0.16,0.12,0.08,0.04,0.13,0.1,0.07,0.04,0.13,0.1,0.12,0.05,0.19,0.14,0.11,0.06,0.24,0.18,0.13,0.13,0.52,0.42,0.33,0.15,0.71,0.32,0.68,0.5,0.32,
货币资金(万元),13164,14925,18759,32902,13957,24377,17466,19908,14242,13108,12996,14893,11784,8856,9056,33491,12503,14342,12929,16382,13657,16474,16187,20863,18521,21828,22130,25594,24694,35464,5982,4958,3965,4666,4006,1588,
应收账款(万元),13365,11328,11392,8555,12943,11840,11081,9756,12558,11225,10008,8895,11366,11025,10546,9172,11054,9469,9908,8645,10178,9849,9399,7916,9745,8899,8770,7365,8379,7585,6619,5437,6161,5704,5439,6090,
存货(万元),27317,26577,24450,23414,21917,19953,18313,18237,18765,18191,17641,17428,17824,17633,17833,17797,18371,17658,16693,16315,16249,16371,14963,14250,13245,11983,11345,11135,10935,10517,10025,9466,9212,8095,6224,6063,
