报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业收入(万元),214047,157327,61257,373038,267461,199968,83417,219891,151644,103960,46884,137342,97912,67574,36675,161431,124311,93492,51095,228424,163470,115654,51065,219765,170186,101981,47966,258221,201557,141354,337432,302847,171472,
营业成本(万元),190989,137230,60881,332178,246655,181634,74179,189244,138813,93275,42457,126987,90765,62471,35221,162511,124740,92159,49968,212059,151334,107064,48355,204511,158262,94262,43963,239896,186830,131040,317037,283891,159734,
营业利润(万元),-4373,-503,-4064,3505,4708,6872,5066,14684,3625,665,317,1826,-7839,-6393,-6391,-49609,-20017,-9653,-2737,3482,2894,1840,491,5862,4999,3285,2151,11313,9034,6440,11722,10624,7220,
利润总额(万元),-2462,941,-3417,26949,29301,29278,5292,24690,12114,8073,607,3633,-6718,-5462,-6180,-47761,-16407,-9152,-2414,7150,4560,3166,1081,7343,5432,3578,2322,12061,9587,6828,12170,11574,8097,
所得税费用(万元),202,-60,-338,7991,6247,6318,1104,3211,3223,2408,601,1389,-107,-299,-966,-6827,-4618,-2288,-588,1861,1257,894,415,1967,1769,797,538,3172,2460,1747,3108,2970,2039,
净利润(万元),-2664,1001,-3079,18957,23054,22960,4188,21479,8891,5665,5,2244,-6611,-5163,-5214,-40934,-11789,-6864,-1826,5289,3303,2272,666,5376,3662,2781,1785,8889,7127,5081,9062,8604,6058,
基本每股收益,-0.06,-0,-0.05,0.35,0.42,0.42,0.08,0.42,0.18,0.12,0,0.06,-0.12,-0.09,-0.1,-0.87,-0.3,-0.19,-0.05,0.16,0.1,0.07,0.03,0.22,0.15,0.11,0.07,0.43,0.37,0.27,0.48,0.47,0.51,
货币资金(万元),7093,8451,13379,20447,4143,19247,16612,9030,20506,39038,11006,18805,14165,18721,37281,42317,26794,20388,19954,23676,34434,32247,23407,18134,39814,28057,42966,29963,71815,19714,30888,21357,7251,
应收账款(万元),77467,98808,68435,96904,97682,102666,78318,50651,19192,21982,21184,22298,25844,25915,30084,27208,32233,36863,49639,38912,27113,33902,37777,22306,20504,23540,27097,14824,16042,15246,16323,15065,7689,
存货(万元),90592,86491,108885,109502,110361,96488,145294,181480,116009,91098,70210,42492,38938,41961,38997,49059,56852,59006,64752,68169,72019,56515,55878,55386,62357,49842,38746,36750,38760,23331,24908,25426,40905,
流动资产合计(万元),255532,268809,266458,304340,303115,298781,282673,285268,200052,193016,146637,145492,106680,116133,131982,144528,145787,146487,177122,172872,178469,171613,165726,162329,171763,154614,154357,110986,154914,71479,86929,86436,76867,
固定资产净额(万元),--,32701,--,32775,34666,35761,37208,38157,38597,66218,52468,53693,52301,49972,48267,47495,48836,44612,28014,28683,27939,26562,26573,26687,25156,25481,25501,22038,22424,20930,20797,14186,7916,
资产总计(万元),358493,373149,373177,411794,422208,418734,424394,443430,359246,388123,342036,302058,262364,271001,287635,299510,320191,223193,249574,244462,245610,237368,230248,226893,233974,215682,214120,169607,206580,122615,134274,118972,100621,
流动负债合计(万元),114234,125095,129828,164775,171037,165356,195055,205756,141031,144888,92635,72717,76193,83404,100300,107076,103289,108879,129468,122623,125776,118565,112334,111063,119964,102655,100826,58042,97494,63514,81262,74759,57191,
非流动负债合计(万元),6931,7324,7551,7982,8509,9671,11908,27302,23197,54630,64306,44434,11862,12041,12126,12274,9263,9085,9234,9394,9590,9798,9900,8709,8796,8901,8980,9222,8680,8013,7288,4865,10196,
负债合计(万元),121165,132419,137379,172757,179546,175027,206962,233058,164227,199518,156941,117151,88055,95445,112426,119350,112552,117963,138702,132017,135366,128363,122234,119773,128759,111556,109806,67264,106175,71527,88550,79624,67387,
所有者权益(或股东权益)合计(万元),237328,240729,235798,239037,242662,243707,217432,210372,195019,188605,185094,184907,174310,175556,175209,180159,207640,105230,110872,112444,110243,109005,108014,107120,105215,104126,104314,102343,100405,51088,45724,39347,33234,
期初现金及现金等价物余额(万元),13342,13342,13342,4214,4214,4214,4214,16459,16459,16459,16459,35675,35675,35675,35675,16291,16291,16291,16291,16544,16544,16544,16544,29963,29963,29963,29963,30888,30888,30888,21357,7251,285,
经营活动产生的现金流量净额(万元),29308,12787,22478,11665,19661,16406,6545,-85169,-54286,-8887,-1626,-15657,5729,1496,9289,32614,8647,19851,-5526,7977,19489,17654,5383,-64760,-31559,-40196,-29789,-31131,-22766,5023,13294,22954,-2963,
投资活动产生的现金流量净额(万元),7682,7912,-1082,40534,2085,8781,4717,-8847,-16956,-22161,-20985,-23145,-4059,-3176,-1007,-91414,-85988,-1181,-729,-4596,-4251,-3356,-119,-2987,-1662,-1123,-412,-1398,-473,-2250,-2553,-7177,-18436,
筹资活动产生的现金流量净额(万元),-48043,-28797,-25612,-43059,-23010,-15422,-9650,81862,75037,51551,15461,19556,-26542,-18028,-12500,78374,83229,-23294,837,-3546,-7444,-5795,-1527,54247,40257,36636,43202,31590,64152,-13966,-1048,-1556,28359,
