报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
营业收入(万元),136907,89075,42750,153168,113876,73552,36138,150355,113598,78956,39577,148427,109625,70864,36799,164213,121301,84454,41769,175815,125662,87803,45864,184439,128327,89706,45803,156933,104910,74223,37225,134815,88570,60627,32845,114306,73886,50325,26290,87987,59156,42637,76889,60649,38038,
营业成本(万元),69033,42593,21194,70122,51642,31769,16404,63422,51956,35743,17579,66949,52442,32059,17016,76531,61842,43498,21739,85378,62883,43357,24725,95728,67023,48079,24926,83566,54151,37671,18896,64422,44322,28828,17018,60144,39060,25531,14392,46632,32046,23359,42387,35323,24517,
营业利润(万元),11901,7099,2471,2485,2701,3358,2329,-32652,2705,2965,1521,2670,2233,2662,1321,2731,2668,3260,1653,4803,4028,4515,2218,4822,3903,4342,2286,7817,5891,6407,3398,14278,7517,7664,3349,13347,7123,7177,2875,12904,7932,6237,11846,10162,5201,
利润总额(万元),12116,7218,2474,2301,2697,3425,2359,-32459,2837,3115,1643,2928,2451,2840,1443,3322,3184,3769,1651,5331,4146,4633,2231,4951,4014,4461,2269,7883,5866,6382,3395,14084,7537,7685,3370,13655,7424,7479,3178,13072,8014,6297,11941,10105,5209,
所得税费用(万元),819,623,239,569,375,129,353,2241,584,673,452,823,664,776,509,931,711,969,419,1468,1213,1257,613,1340,1252,1252,694,2226,1680,1633,886,4140,1983,1973,810,3623,1907,1778,743,1687,1197,945,1647,1533,436,
净利润(万元),11296,6595,2234,1731,2322,3296,2006,-34699,2253,2442,1192,2105,1787,2063,934,2391,2473,2800,1232,3863,2933,3376,1617,3611,2762,3210,1576,5657,4186,4749,2509,9945,5553,5713,2560,10032,5517,5701,2435,11384,6817,5352,10294,8572,4773,
基本每股收益,0.19,0.11,0.05,0.02,0.05,0.07,0.05,-0.88,0.05,0.06,0.03,0.05,0.04,0.05,0.02,0.06,0.06,0.07,0.03,0.1,0.08,0.09,0.05,0.09,0.07,0.09,0.04,0.15,0.12,0.13,0.07,0.27,0.15,0.16,0.09,0.36,0.2,0.2,0.09,0.64,0.41,0.33,0.64,0.54,1.12,
货币资金(万元),24395,17206,20716,15452,29165,16620,36700,24160,26969,26691,23357,20158,30954,26953,26538,25406,31637,61088,29466,20794,34041,41062,41995,41572,43214,30564,40718,40789,45332,59493,49601,45270,41809,60462,65728,62282,61277,70491,87614,97001,95190,11402,14209,12027,4521,
应收账款(万元),99710,100757,103878,77746,71260,74198,75130,75721,81449,82493,79551,71293,69795,70762,71923,70757,74828,75569,76182,72571,69298,69864,69514,69671,66748,66682,65913,65728,56146,53971,49964,48253,36760,37631,36320,31382,21864,21522,22320,22251,17500,17534,16996,12305,10621,
存货(万元),132417,135614,139265,140946,137688,137382,137428,137914,151552,151923,150114,151177,148780,149461,149949,147514,138035,138506,135503,135063,119234,118312,117806,118123,107676,107911,105763,104592,93347,89528,85082,79982,78746,71793,64950,57364,58781,56740,52081,44764,38995,35036,30423,17576,7530,
流动资产合计(万元),281416,278339,286353,241433,247207,240800,262731,249108,271003,271596,265071,250303,256188,259237,260823,257472,255166,286553,251159,238161,233248,241717,242115,241624,229725,217125,223259,221328,203291,212428,194742,182162,167953,176530,173395,158623,150893,160501,169896,171370,159114,70556,66004,43450,25132,
固定资产净额(万元),--,11607,--,11226,11442,11607,11704,11822,11864,12008,12205,12295,12444,12683,12973,13279,13653,13979,14333,14718,15116,15428,15892,16030,16399,16771,16672,17042,17023,17396,17503,17534,11381,11421,11181,10330,8736,8021,7250,6374,5714,5633,5725,5347,5219,
资产总计(万元),507127,504707,513443,307266,314969,309589,332038,318361,358303,358264,351756,298683,301135,304031,305731,302758,299632,329522,294825,282347,275447,284554,285902,286535,273654,261765,267497,265266,227551,235827,217188,204406,189624,198145,194754,179933,172339,176611,180171,180648,167185,78536,73983,50980,32419,
流动负债合计(万元),181892,184162,196980,131317,133889,126170,132823,143636,146920,146725,141483,114080,117103,119718,118439,116402,113089,131508,115756,104514,92921,97884,103233,105531,93499,87922,95337,94633,69612,77325,57293,47019,37846,46208,45969,33708,30629,34717,47993,43703,34807,38359,37557,21953,21268,
