报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业收入(万元),414534,249225,104731,367360,233960,145945,55174,199977,92953,90943,27386,20277,6018,12568,13777,12607,
营业成本(万元),385126,230102,97167,336854,213428,132500,49957,180041,84218,78827,21679,10532,1338,3515,4301,3750,
营业利润(万元),14934,9716,3160,14176,9368,6204,1568,8254,3250,2896,1518,1446,643,781,1798,1430,
利润总额(万元),15313,9948,3288,14267,9374,6207,1582,8257,3244,3112,1614,1599,663,849,1820,1434,
所得税费用(万元),3595,2267,707,3468,2313,1497,382,2039,784,460,461,399,145,270,374,293,
净利润(万元),11718,7680,2581,10798,7061,4710,1200,6218,2461,2652,1154,1201,518,578,1446,1141,
基本每股收益,0.87,0.62,0.21,0.89,0.58,0.39,0.1,0.59,0.26,0.32,0.36,0.42,0.18,0.19,0.44,0.38,
货币资金(万元),78962,31360,14660,27857,2830,18471,3275,18404,7408,19285,6134,4212,4365,4143,6032,6167,
应收账款(万元),6710,5463,6774,4543,--,--,6728,3172,2365,1878,1961,775,109,120,185,102,
存货(万元),3732,1660,2928,2721,2365,1981,3944,2042,4134,6136,2359,1243,628,287,163,263,
流动资产合计(万元),168118,94731,91683,80406,70557,67002,59226,58914,46635,42684,16564,8340,5910,5119,6838,7287,
固定资产净额(万元),--,2217,--,2288,2309,2351,2372,2291,2249,2167,2191,2104,2151,2189,2274,2185,
资产总计(万元),171319,98374,95297,84026,74175,70632,62673,62146,50558,46497,19888,11823,8556,7838,10530,10755,
流动负债合计(万元),64444,44331,46319,37594,31550,30358,25909,26582,19481,31405,6577,5114,2530,2330,3920,4090,
非流动负债合计(万元),0,0,35,70,0,0,0,0,0,0,0,0,0,0,0,0,
负债合计(万元),64444,44331,46354,37664,31550,30358,25909,26582,19481,31405,6577,5114,2530,2330,3920,4090,
所有者权益(或股东权益)合计(万元),106876,54042,48943,46362,42624,40274,36764,35564,31077,15093,13310,6709,6026,5508,6610,6664,
期初现金及现金等价物余额(万元),27357,27357,27357,18404,18404,18404,18404,3619,3619,4212,4212,4143,4143,6032,6167,2251,
经营活动产生的现金流量净额(万元),1254,2009,-13922,7730,-17831,-1589,-14598,-8795,-17485,-6751,-3235,-222,-252,-968,1766,1533,
投资活动产生的现金流量净额(万元),-54,-29,-14,-533,-533,-528,-169,323,-171,46,75,-938,-20,759,-100,1662,
筹资活动产生的现金流量净额(万元),49902,1524,741,1732,2765,2174,-354,23266,21050,6112,5083,1229,494,-1680,-1800,720,
现金及现金等价物净增加额(万元),51105,3503,-13197,8953,-15574,67,-15129,14785,3390,-594,1922,69,221,-1889,-135,3915,
期末现金及现金等价物余额(万元),78462,30860,14160,27357,2830,18471,3275,18404,7008,3619,6134,4212,4365,4143,6032,6167,		
		
  
