报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业收入(万元),232780,152079,64044,317669,226652,139976,61423,278391,191853,117559,38330,235176,166002,106522,50426,259483,181805,116473,39831,305026,209917,142647,58164,308810,236059,158125,56306,336479,243820,165959,309500,249901,153842,
营业成本(万元),153314,101229,40870,213837,147356,88959,37579,176021,119314,72585,25010,143869,98623,63273,31462,160152,113502,74476,25547,195249,134604,92025,38106,209158,160927,106826,38838,222696,158249,107154,200245,168126,97217,
营业利润(万元),5895,1753,-2214,-51677,-3870,-1369,-2139,8559,10376,8959,1735,28551,26093,16152,5370,29009,18117,8949,4212,27180,35115,20344,7239,35078,30466,19415,5641,49009,35648,22670,43697,17120,19912,
利润总额(万元),5932,1715,-2288,-53434,-4057,-1344,-2103,7768,11090,9580,2140,28983,26582,16088,5434,30522,18535,9494,4051,26679,35120,20662,7489,36305,32193,19602,6057,50401,37384,24232,44741,17484,20513,
所得税费用(万元),1478,386,80,-2957,669,613,-240,1949,2057,1464,486,4580,4346,2575,983,3625,4722,3043,822,5221,5928,3281,1228,5516,5297,3266,1133,7729,6968,4497,7758,4867,3257,
净利润(万元),4454,1330,-2368,-50478,-4726,-1957,-1863,5819,9033,8115,1654,24404,22236,13513,4451,26897,13813,6452,3229,21458,29192,17381,6261,30789,26897,16335,4924,42672,30416,19735,36983,12617,17256,
基本每股收益,0.06,0.02,-0.03,-0.61,-0.05,-0.02,-0.02,0.07,0.1,0.1,0.02,0.3,0.28,0.17,0.06,0.34,0.17,0.08,0.08,0.54,0.73,0.43,0.16,0.77,0.67,0.41,0.12,1.19,0.88,0.59,1.23,0.42,0.57,
货币资金(万元),34600,48266,42297,19393,21022,65343,55871,38567,36657,87804,44379,83314,37460,31929,44770,13653,24738,113178,139912,111357,153808,186099,184502,181211,216081,299706,298831,334004,304876,337366,107957,90645,52473,
应收账款(万元),17169,17379,15546,17151,15889,10483,9589,8558,10698,8159,3576,2874,4508,3567,3051,2544,5044,6070,5009,4347,5631,4938,3884,3558,4915,4094,4067,3723,4016,3745,3210,1731,1491,
存货(万元),57666,55951,54746,59240,49299,50172,45431,44791,44227,44495,32208,27326,29467,28962,25542,26467,31004,30406,31752,24535,23419,24000,25711,25799,26656,25945,29465,21920,18999,16918,17620,15887,9695,
流动资产合计(万元),232419,222314,193838,193293,188167,204765,200217,225256,241149,259635,234604,329474,309422,319079,317577,327892,315082,350994,306939,292194,309270,335446,334486,356442,285871,365371,367147,381248,341968,376167,144061,134457,88943,
固定资产净额(万元),--,120928,--,125278,120347,121232,122074,123664,122414,113501,76402,77802,66320,66126,67143,68106,46587,45765,46355,47024,41379,41815,41913,42635,39449,37938,37877,36768,35129,34933,35292,29968,10680,
资产总计(万元),602787,597537,574363,580791,595637,610588,598558,632124,654750,664545,503156,522142,489273,499487,485452,480225,446253,462121,441373,449658,426516,440224,433178,457932,410735,448627,444662,456586,400021,433374,201455,175468,116797,
流动负债合计(万元),271848,270081,250660,254979,227310,239637,226993,242034,258811,270083,114368,135868,106097,126286,105710,104796,84179,107439,77036,90086,59894,84918,67579,99113,55906,104234,83453,100331,56769,87127,78621,84083,75755,
非流动负债合计(万元),12262,12056,12122,11854,11007,10914,11213,11277,13627,13384,7785,7963,7184,6946,6737,6887,6621,6600,8793,7258,6564,7059,7257,6753,6659,6784,6615,6580,5478,5514,4594,4134,2605,
负债合计(万元),284110,282138,262782,266833,238317,250551,238206,253310,272438,283466,122153,143831,113281,133232,112447,111683,90799,114039,85829,97344,66457,91977,74836,105866,62566,111018,90068,106911,62247,92641,83215,88216,78360,
所有者权益(或股东权益)合计(万元),318677,315399,311581,313958,357319,360037,360353,378814,382312,381079,381003,378311,375991,366255,373005,368543,355453,348082,355544,352315,360059,348247,358342,352067,348169,337609,354594,349675,337775,340733,118239,87252,38438,
期初现金及现金等价物余额(万元),10450,10450,10450,24310,24310,24310,24310,77654,77654,77654,77654,12289,12289,12289,12289,109997,109997,109997,111357,181211,181211,181211,181211,334004,334004,334004,334004,107957,107957,107957,90645,46173,7264,
经营活动产生的现金流量净额(万元),3407,-1453,-14168,-3088,-15577,-5931,-12957,9948,-26406,-27215,-30931,19962,-8271,6865,-23893,49921,-4611,9635,-24958,12073,-20083,392,-25864,30861,-32923,5361,-30469,59702,11284,26921,38372,31503,48601,
投资活动产生的现金流量净额(万元),-18646,-2051,11567,8065,22855,51870,42096,-61032,-66303,-19274,-8052,36862,23371,5595,33233,-136873,-84752,-7565,43513,-62078,13544,25359,29153,-155119,-57020,-11678,-4695,-22745,-4201,-2533,-15003,-15204,-9710,
筹资活动产生的现金流量净额(万元),18060,18887,14298,-19029,-21148,-20554,-11322,-2006,47813,54146,628,8114,8743,5885,21925,-10918,2720,-247,10000,-21200,-20867,-20867,0,-28400,-27955,-27955,0,189117,189835,205020,-5945,28264,0,
现金及现金等价物净增加额(万元),2869,15378,11671,-13860,-13823,25401,17785,-53344,-45090,7561,-38382,65366,23950,18421,31262,-97709,-86622,1820,28555,-71214,-27403,4888,3291,-152793,-117923,-34298,-35173,226047,196920,229410,17312,44471,38909,
