报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业收入(万元),23093,17421,3670,36534,18158,14703,3147,32510,12374,25996,14710,9209,23438,7448,15915,11913,7615,
营业成本(万元),11466,9150,1812,19455,10186,8344,1718,17794,7413,13243,7140,4330,11923,3625,8397,6999,4705,
营业利润(万元),2611,2423,-522,6490,1168,1576,-716,4957,758,3556,1405,1501,4595,1603,3093,2147,955,
利润总额(万元),3211,2727,-203,6620,1245,1662,-719,5387,829,4341,1730,1526,5181,1951,3556,2438,1067,
所得税费用(万元),164,265,-11,787,327,287,15,635,71,476,118,229,565,245,466,152,102,
净利润(万元),3046,2462,-192,5834,918,1375,-734,4753,758,3865,1612,1296,4616,1706,3090,2286,964,
基本每股收益,0.59,0.48,-0.04,1.15,0.18,0.27,-0.14,0.94,0.15,0.81,0.35,0.28,1.03,0.39,0.86,2.04,1.44,
货币资金(万元),5392,13511,8460,16569,6775,7826,6964,14205,5550,8714,4863,8779,5530,5191,3261,1442,1126,
应收账款(万元),15590,16973,16958,17944,--,--,14248,16580,14227,9766,9244,7613,7265,5628,5773,4420,2038,
存货(万元),12767,8627,7630,6169,9806,7441,7412,5130,5058,6252,7495,5811,3477,1325,1771,1569,547,
流动资产合计(万元),39560,43813,36559,44232,34955,37875,32862,37047,26329,26272,23439,24183,17957,15955,11955,9586,4073,
固定资产净额(万元),--,3810,--,--,3969,3997,3971,4039,4139,4260,4201,4142,3878,336,338,308,218,
资产总计(万元),56997,60395,51751,58469,47489,49922,43070,47011,35495,34556,29855,29842,23343,19679,15439,9967,4321,
流动负债合计(万元),15287,18686,12169,18612,12466,14360,10052,13236,9770,9589,7141,13452,6860,5070,6362,5475,2414,
非流动负债合计(万元),4105,4688,5215,5298,5380,5463,5050,5050,0,0,0,0,0,646,801,0,0,
负债合计(万元),19392,23373,17384,23910,17846,19822,15102,18286,9770,9589,7141,13452,6860,5716,7163,5475,2414,
所有者权益(或股东权益)合计(万元),37605,37021,34367,34559,29643,30100,27969,28725,25725,24967,22714,16389,16483,13963,8276,4492,1907,
期初现金及现金等价物余额(万元),16074,16074,16074,14111,14111,14111,14111,8714,8714,5530,5530,5530,3261,3261,1442,1126,256,
经营活动产生的现金流量净额(万元),-5576,454,-5900,4963,-4542,-4344,-6384,3402,-1645,-1963,-7210,-4447,4560,486,1230,350,1048,
投资活动产生的现金流量净额(万元),-4098,-2782,-1054,-3354,-2653,-1792,-311,-2645,-1355,-1636,-342,764,-2950,-2415,-2165,-1198,-178,
筹资活动产生的现金流量净额(万元),-1444,-313,-1082,354,-237,-244,-546,4640,-237,6783,6885,6932,658,3858,2754,1164,0,
现金及现金等价物净增加额(万元),-11118,-2641,-8035,1963,-7433,-6380,-7241,5397,-3237,3184,-667,3250,2268,1929,1820,316,870,
期末现金及现金等价物余额(万元),4956,13433,8038,16074,6678,7731,6870,14111,5477,8714,4863,8779,5530,5191,3261,1442,1126,		
		
  
