报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业收入(万元),22826,14484,4871,26879,17038,11043,3997,23539,9746,17523,7617,15435,5032,11760,8746,5078,
营业成本(万元),8833,5765,1876,10464,6609,4266,1556,9201,3695,7084,3264,6940,2146,6218,3912,2841,
营业利润(万元),9772,5674,1889,10833,6093,4098,1777,9206,3404,6349,2541,4870,1464,2935,2397,300,
利润总额(万元),10068,5895,1908,10953,6220,4215,1777,9212,3461,6506,2546,4934,1465,3146,2426,327,
所得税费用(万元),1404,825,280,1442,1016,568,301,1424,567,934,431,685,250,477,343,34,
净利润(万元),8664,5070,1627,9511,5204,3647,1476,7788,2895,5572,2115,4250,1215,2670,2083,294,
基本每股收益,0.66,0.38,0.12,0.72,0.39,0.28,0.11,0.59,0.22,0.42,0.16,0.67,0.2,0.44,0.35,0.05,
货币资金(万元),18601,20291,17097,21273,15509,17824,21677,23023,13971,21968,18307,23438,11582,5815,4315,4397,
应收账款(万元),31202,27083,28031,24862,--,--,16775,15696,19598,13002,11726,10210,8393,7621,8365,5460,
存货(万元),8330,7024,7315,7200,9141,8441,8486,6353,7210,6362,3806,3051,3118,3504,3735,2192,
流动资产合计(万元),61527,56697,56824,57916,51831,48868,49741,48461,41923,43208,36668,38163,24428,19295,17844,13842,
固定资产净额(万元),--,4039,--,2185,1764,1184,1138,1196,1307,1218,1542,873,926,940,380,390,
资产总计(万元),69993,64864,64167,62780,55545,52291,53000,51783,45341,46557,39557,40212,26385,21190,18785,14750,
流动负债合计(万元),15316,13792,16551,15013,12051,10338,11611,11848,10188,10224,6847,7433,8687,4856,4950,3193,
非流动负债合计(万元),98,124,149,176,203,230,256,283,337,391,445,448,453,303,475,280,
负债合计(万元),15415,13915,16700,15189,12254,10567,11867,12132,10525,10615,7292,7880,9140,5159,5425,3473,
所有者权益(或股东权益)合计(万元),54579,50948,47467,47592,43291,41723,41133,39652,34815,35942,32265,32332,17245,16030,13361,11277,
期初现金及现金等价物余额(万元),17931,17931,17931,20125,20125,20125,20125,18971,18971,19551,19551,4838,4838,2746,3118,3133,
经营活动产生的现金流量净额(万元),2091,3677,-1494,782,-5614,-3483,-1569,5390,-3582,2026,-108,2980,1045,3348,-289,124,
投资活动产生的现金流量净额(万元),-3305,-2960,-2469,-1461,-582,-201,-9,-159,-119,-644,-934,-319,-179,-1256,-116,-116,
筹资活动产生的现金流量净额(万元),-1719,-1719,0,-1587,-1587,-1587,0,-3967,-4051,-2042,-2182,12052,4754,0,0,0,
现金及现金等价物净增加额(万元),-2890,-996,-3996,-2193,-7704,-5259,-1567,1153,-7805,-580,-3208,14713,5620,2092,-372,-15,
期末现金及现金等价物余额(万元),15041,16935,13935,17931,12421,14866,18557,20125,11166,18971,16343,19551,10458,4838,2746,3118,		
		
  
