报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业收入(万元),5072,1281,1135,17259,18487,15688,6912,30990,25817,18082,8697,36209,26572,18021,6132,53345,35174,24468,11180,51358,32308,16905,6029,28587,25744,18602,11780,48027,31957,21857,11392,43540,18048,27723,16094,5068,
营业成本(万元),3847,1195,918,11150,11326,9488,3197,19269,15808,10569,5156,21925,14954,10035,3291,27452,18094,13013,5927,26465,15934,8642,3339,15720,12531,8899,5746,23642,14881,10168,5843,22229,9675,14035,8704,2898,
营业利润(万元),-340,-2812,-1567,-47316,-34,1455,1241,-15123,-3978,-1390,-1492,1493,-5448,-3191,-3067,512,89,-124,128,910,283,-1496,-2071,-6758,85,1434,1318,8612,5114,3134,2168,9794,3583,6807,3741,404,
利润总额(万元),-388,-2819,-1568,-47742,-43,1448,1240,-14437,-3671,-1079,-1481,1486,-5445,-3197,-3070,748,100,-115,130,903,284,-1498,-2074,-6550,402,1532,1353,8748,5262,3241,2167,9933,3570,6865,3736,398,
所得税费用(万元),353,-50,25,-3959,490,812,539,-457,739,360,-100,-27,-642,-435,-331,51,-247,-297,29,288,45,-52,256,-710,51,33,285,1574,636,276,341,1760,1083,1151,658,249,
净利润(万元),-741,-2770,-1593,-43783,-533,637,701,-13981,-4410,-1439,-1382,1513,-4803,-2762,-2739,697,347,182,101,615,239,-1446,-2331,-5839,350,1499,1068,7174,4625,2965,1826,8173,2487,5714,3078,149,
基本每股收益,-0.02,-0.08,-0.05,-1.38,-0.03,0,0.01,-0.44,-0.12,-0.04,-0.04,0.06,-0.14,-0.08,-0.17,0.06,0.03,0.02,0.01,0.06,0.03,-0.09,-0.14,-0.36,0.02,0.09,0.1,0.75,0.5,0.35,0.23,1.02,0.31,0.79,0.53,0.06,
货币资金(万元),1846,1721,2583,1895,2998,1961,1860,3777,3017,3982,4451,14977,11443,14571,14329,20918,10670,14298,19200,26158,26135,32025,35463,46585,37870,39257,41376,50961,50676,50293,4001,13970,5721,7473,1211,654,
应收账款(万元),30837,27532,31527,32171,47748,50397,46775,45490,61743,63936,64351,61244,74252,72543,70465,72645,70274,70104,66058,61456,59951,50321,46281,45834,56363,55547,53462,47539,45419,43243,38172,30730,27135,19578,9875,2886,
存货(万元),8398,10061,9030,8200,34157,33481,37547,36383,40975,41695,42952,43651,46325,44598,44937,41521,41256,41546,40822,38199,38690,36486,33418,26144,26197,24278,19347,18662,20623,17722,13374,12817,10793,9178,7994,2879,
流动资产合计(万元),51205,48933,52287,51438,95345,90144,90774,90073,109949,121488,128724,138780,139992,139707,137859,142466,128508,134637,134556,133509,129817,125283,119855,121907,126700,124816,120095,120830,121202,114567,59814,60658,46991,38391,20082,7067,
固定资产净额(万元),--,771,--,986,1113,1233,1370,1474,1409,1277,1415,1547,1994,2160,2317,2439,2571,2626,2787,2637,2534,2385,2025,2110,2077,1871,1692,1577,1624,1440,1419,1339,909,693,373,362,
资产总计(万元),67766,66288,70284,69824,115321,110882,111910,111596,131524,142301,149598,159341,164543,163469,161354,165169,150876,154984,153478,151430,146377,133399,125300,127792,130842,128762,123807,124443,125027,118290,63175,64061,49198,40146,21652,8817,
流动负债合计(万元),45824,44666,39135,38029,38180,43651,44528,44822,49111,56828,63979,72253,84542,77480,74863,80966,69974,73788,72364,70416,65709,48464,42571,43841,40710,37490,31367,33086,36119,37043,33216,35927,26751,19686,16490,6733,
非流动负债合计(万元),109,1827,10179,9231,11328,257,348,441,492,581,669,756,0,3939,3939,3920,0,0,0,0,0,5952,5943,5934,5926,5917,5909,5900,6000,0,--,0,0,0,0,0,
负债合计(万元),45933,46494,49314,47260,49508,43907,44876,45263,49603,57409,64648,73009,84542,81418,78802,84886,69974,73788,72364,70416,65709,54416,48514,49775,46635,43407,37275,38987,42119,37043,33216,35927,26751,19686,16490,6733,
所有者权益(或股东权益)合计(万元),21833,19794,20970,22564,65813,66975,67034,66333,81921,84892,84950,86331,80001,82050,82553,80284,80901,81196,81114,81014,80668,78983,76786,78017,84207,85355,86532,85457,82908,81247,29959,28134,22447,20460,5162,2084,
期初现金及现金等价物余额(万元),1895,1895,249,2484,2484,2484,2534,14073,14079,14073,14073,20150,20155,20155,20150,25994,25994,25994,26004,46423,46423,46423,46423,50709,50709,50709,50709,12090,12090,12090,12090,7473,7473,1211,654,166,
