报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),102816,67830,30666,105157,67880,44382,20323,81926,57450,35199,12527,70681,49182,33321,55379,54048,62330,80091,
营业收入(万元),102816,67830,30666,105157,67880,44382,20323,81926,57450,35199,12527,70681,49182,33321,55379,54048,62330,80091,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),92480,60535,27467,94807,60487,39047,18192,73785,51377,30895,11338,65003,44606,29840,50716,49801,60374,74326,
营业成本(万元),79207,52084,23382,79560,50978,32762,15394,62346,43325,25907,9248,53475,36710,24428,41473,40715,50504,63699,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),3612,2288,1110,3613,2290,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),293,194,146,509,365,244,108,384,333,237,76,544,376,257,172,303,244,601,
销售费用(万元),6225,3970,1785,8263,4941,4368,1786,7690,5255,3200,1248,7149,4623,3166,5731,5868,6047,6167,
管理费用(万元),2659,1723,887,2948,2007,1652,907,3096,2102,1289,630,2804,1937,1206,2654,2324,2502,2893,
财务费用(万元),484,277,168,-99,-88,21,33,134,88,99,75,433,340,232,286,321,728,950,
资产减值损失(万元),--,--,-11,13,-6,-1,-36,136,275,162,60,597,621,551,400,270,349,17,
公允价值变动收益(万元),--,--,--,318,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),67,49,15,451,421,289,131,218,107,46,19,142,127,46,122,113,-107,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),10942,7748,3341,11492,8097,5838,2453,8685,6255,4379,1208,5821,4703,3527,4786,4360,1849,5765,
营业外收入(万元),0,0,0,0,1,0,0,0,4,0,0,122,36,11,176,136,94,205,
营业外支出(万元),12,11,11,2,0,0,0,1,0,0,0,7,4,3,26,25,5,29,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,3,2,2,1,1,2,21,
利润总额(万元),10931,7736,3330,11490,8098,5838,2453,8684,6259,4379,1208,5936,4735,3535,4935,4471,1938,5941,
所得税费用(万元),1572,1098,529,1647,1252,892,434,1417,1010,693,204,1131,925,707,812,806,579,1545,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),9358,6638,2800,9843,6846,4946,2019,7266,5249,3686,1004,4804,3809,2828,4123,3664,1359,4396,
归属于母公司所有者的净利润(万元),8205,5968,2525,9354,6753,4878,1995,7145,5150,3659,1050,5025,4026,3047,4166,3618,1335,4381,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),1154,670,276,488,93,67,24,121,99,26,-46,-221,-217,-218,-43,46,24,15,
基本每股收益,0.63,0.46,0.2,0.73,0.53,0.38,0.26,1.06,0.79,0.61,0.19,0.89,0.71,0.54,0.74,0.64,0.24,0.86,
稀释每股收益,0.63,0.46,0.2,0.73,0.53,0.38,0.26,1.05,0.79,0.61,0.19,0.89,0.71,0.54,0.74,0.64,0.24,0.86,
