报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),29320,18983,32417,23580,33906,6421,22874,14080,14553,
营业收入(万元),29320,18983,32417,23580,33906,6421,22874,14080,14553,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),21401,13977,24945,18199,26180,4531,16361,11347,10884,
营业成本(万元),16945,11090,19185,14217,20418,3649,12357,7624,7901,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),1516,957,1772,994,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),274,183,300,218,322,63,222,153,109,
销售费用(万元),844,580,1042,752,1017,209,859,525,478,
管理费用(万元),1545,982,2067,1541,3804,586,2678,3010,2148,
财务费用(万元),277,185,578,477,395,94,108,44,25,
资产减值损失(万元),--,--,--,--,225,-70,138,-9,224,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),14,6,17,10,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),7746,4928,7777,5706,8148,1890,6512,2733,3669,
营业外收入(万元),103,103,140,165,69,97,336,154,47,
营业外支出(万元),76,25,22,21,14,8,202,5,11,
非流动资产处置损失(万元),--,--,--,--,--,4,199,--,4,
利润总额(万元),7773,5006,7895,5849,8203,1979,6647,2881,3706,
所得税费用(万元),1339,875,997,889,1284,325,992,558,525,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),6434,4130,6899,4960,6919,1654,5655,2323,3181,
归属于母公司所有者的净利润(万元),6434,4130,6899,4960,6919,1654,5655,2323,3181,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,
基本每股收益,1.49,0.96,1.6,1.15,1.6,0.38,1.31,0.62,0.88,
稀释每股收益,1.49,0.96,1.6,1.15,1.6,0.38,1.31,0.62,0.88,
