报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),206268,124410,260494,170229,185031,136813,118657,
营业收入(万元),206268,124410,260494,170229,185031,136813,118657,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),185404,112084,233212,151043,163971,120664,95629,
营业成本(万元),162961,97668,203477,132924,141423,100040,79222,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),1384,816,2066,1195,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),634,463,1048,732,849,642,562,
销售费用(万元),14470,9154,17133,11144,12115,9485,8786,
管理费用(万元),6218,4122,7940,4990,8248,8610,6879,
财务费用(万元),-263,-140,-16,57,-72,148,-40,
资产减值损失(万元),--,--,1564,--,1408,1739,220,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),-82,-187,-46,-20,-28,59,172,
对联营企业和合营企业的投资收益(万元),-82,-187,-46,-20,-28,-4,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),19346,11235,27384,17528,21047,16218,23199,
营业外收入(万元),731,471,763,628,378,59,183,
营业外支出(万元),2,2,428,100,27,189,43,
非流动资产处置损失(万元),--,--,--,--,--,--,--,
利润总额(万元),20075,11704,27719,18056,21399,16088,23339,
所得税费用(万元),5201,3072,7062,4576,5545,4859,5889,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),14874,8633,20657,13480,15854,11229,17450,
归属于母公司所有者的净利润(万元),14930,8670,20657,13491,15953,11305,17445,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),-56,-38,-0,-11,-99,-76,5,
基本每股收益,0.39,0.23,0.54,0.35,0.42,0.31,--,
稀释每股收益,0.39,0.23,0.54,0.35,0.42,0.31,--,
