报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),414534,249225,104731,367360,233960,145945,55174,199977,92953,90943,27386,20277,6018,12568,13777,12607,
营业收入(万元),414534,249225,104731,367360,233960,145945,55174,199977,92953,90943,27386,20277,6018,12568,13777,12607,
利息收入(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),399349,239365,101573,353172,224588,139738,53606,191734,89714,88047,25870,18831,5375,11787,12029,11287,
营业成本(万元),385126,230102,97167,336854,213428,132500,49957,180041,84218,78827,21679,10532,1338,3515,4301,3750,
利息支出(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1388,949,461,1673,688,505,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),498,264,84,296,151,102,42,173,92,128,59,111,55,114,125,498,
销售费用(万元),9376,6125,2690,10251,6859,4397,2142,6939,3182,5620,2516,4916,2383,5019,4828,4461,
管理费用(万元),2233,1437,734,3237,2594,1764,1104,3975,1989,3297,1516,3273,1610,3270,2819,2650,
财务费用(万元),728,489,256,780,519,354,188,455,195,46,-2,-70,-19,-133,-60,-80,
资产减值损失(万元),--,--,180,83,350,116,174,150,38,129,101,69,8,2,16,9,
公允价值变动收益(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),0,0,1,-12,-4,-4,--,--,--,--,2,--,--,--,50,110,
对联营企业和合营企业的投资收益(万元),--,0,1,-12,-4,0,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),14934,9716,3160,14176,9368,6204,1568,8254,3250,2896,1518,1446,643,781,1798,1430,
营业外收入(万元),384,236,129,114,10,7,15,10,3,224,97,157,21,68,24,26,
营业外支出(万元),5,5,1,24,4,3,0,8,8,7,0,4,1,0,2,23,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,0,--,--,3,--,0,--,0,
利润总额(万元),15313,9948,3288,14267,9374,6207,1582,8257,3244,3112,1614,1599,663,849,1820,1434,
所得税费用(万元),3595,2267,707,3468,2313,1497,382,2039,784,460,461,399,145,270,374,293,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),11718,7680,2581,10798,7061,4710,1200,6218,2461,2652,1154,1201,518,578,1446,1141,
归属于母公司所有者的净利润(万元),9863,6501,2190,9386,6124,4154,1076,5875,2466,2622,1154,1201,518,578,1446,1141,
被合并方在合并前实现净利润(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),1855,1180,391,1412,937,556,124,343,-6,31,--,--,--,--,--,--,
基本每股收益,0.87,0.62,0.21,0.89,0.58,0.39,0.1,0.59,0.26,0.32,0.36,0.42,0.18,0.19,0.44,0.38,
稀释每股收益,0.87,0.6,0.21,0.89,0.58,0.39,0.1,0.59,0.26,0.32,0.36,0.42,0.18,0.19,0.43,0.38,
