报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),73644,48769,21779,113028,75798,48580,20737,89577,38020,68444,51197,83806,59287,36961,
营业收入(万元),73644,48769,21779,113028,75798,48580,20737,89577,38020,68444,51197,83806,59287,36961,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),67330,44840,20118,101039,66764,44590,19487,79000,32562,60666,50249,76894,52292,30696,
营业成本(万元),53328,35657,16010,83586,56893,37204,15913,63107,25613,47207,37986,61639,42315,24718,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),5251,3222,1408,5454,3744,2491,1185,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),647,443,264,843,531,328,165,717,311,584,568,410,258,375,
销售费用(万元),4637,2866,1156,5850,4024,2560,1139,5522,2504,5389,4416,6333,4173,2092,
管理费用(万元),4060,2611,1137,3208,2003,2491,623,8230,3531,7165,6680,6948,4578,2953,
财务费用(万元),-592,42,359,-266,-432,43,589,1009,360,-909,-516,410,598,408,
资产减值损失(万元),--,--,-218,2364,--,616,-128,416,243,1231,1115,1154,370,150,
公允价值变动收益(万元),--,--,25,-25,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-160,95,31,-949,-967,-976,33,66,10,185,8,7,47,29,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),10318,7261,3393,13033,8761,4278,1334,12082,5467,7963,956,6919,7042,6294,
营业外收入(万元),69,32,3,320,195,29,7,354,1326,1509,1073,276,455,358,
营业外支出(万元),120,74,14,86,73,68,15,530,280,119,119,171,33,88,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),10267,7218,3382,13267,8884,4239,1326,11906,6513,9353,1909,7024,7465,6564,
所得税费用(万元),844,620,310,1608,1173,493,268,1411,759,1081,481,895,1030,829,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),9423,6598,3072,11659,7711,3745,1058,10495,5754,8272,1428,6129,6434,5735,
归属于母公司所有者的净利润(万元),9423,6598,3072,11659,7711,3745,1058,10495,5754,8272,1428,6129,6520,5759,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,-86,-24,
基本每股收益,1.43,1.04,0.48,1.83,1.21,0.59,0.17,1.65,0.9,1.3,0.22,1.02,1.09,--,
稀释每股收益,1.43,1.04,0.48,1.83,1.21,0.59,0.17,1.65,0.9,1.3,0.22,1.02,1.09,--,
