报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),23093,17421,3670,36534,18158,14703,3147,32510,12374,25996,14710,9209,23438,7448,15915,11913,7615,
营业收入(万元),23093,17421,3670,36534,18158,14703,3147,32510,12374,25996,14710,9209,23438,7448,15915,11913,7615,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),20443,15851,4263,30890,17514,13510,3856,27949,11786,22434,13310,7716,18846,5848,12837,9767,6660,
营业成本(万元),11466,9150,1812,19455,10186,8344,1718,17794,7413,13243,7140,4330,11923,3625,8397,6999,4705,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),3678,2288,1097,4058,2338,1490,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),229,172,30,408,177,154,40,388,158,286,135,65,241,75,133,115,63,
销售费用(万元),2725,1576,558,2822,1915,1258,569,2495,945,2455,1537,789,1093,267,819,623,511,
管理费用(万元),2132,1412,700,3069,2267,1570,1459,6460,2796,5809,4136,2311,5107,1661,3295,1858,1279,
财务费用(万元),213,173,32,363,209,139,41,252,67,146,99,59,238,93,142,32,-2,
资产减值损失(万元),--,202,35,716,421,556,29,559,408,495,262,162,244,127,51,139,104,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-58,-38,-10,-48,-35,-10,-6,43,0,-6,5,7,3,3,15,--,--,
对联营企业和合营企业的投资收益(万元),-58,-38,-10,-48,-35,-10,-6,43,0,-40,-29,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2611,2423,-522,6490,1168,1576,-716,4957,758,3556,1405,1501,4595,1603,3093,2147,955,
营业外收入(万元),656,311,319,143,90,90,0,475,92,799,337,70,592,348,476,291,112,
营业外支出(万元),57,7,--,13,13,3,3,44,21,14,13,45,7,0,12,0,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
利润总额(万元),3211,2727,-203,6620,1245,1662,-719,5387,829,4341,1730,1526,5181,1951,3556,2438,1067,
所得税费用(万元),164,265,-11,787,327,287,15,635,71,476,118,229,565,245,466,152,102,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3046,2462,-192,5834,918,1375,-734,4753,758,3865,1612,1296,4616,1706,3090,2286,964,
归属于母公司所有者的净利润(万元),3021,2435,-186,5826,899,1391,-726,4773,767,3884,1628,1308,4624,1708,3091,2286,964,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,-12,--,--,--,--,--,
少数股东损益(万元),25,27,-6,8,19,-16,-8,-20,-9,-20,-16,-12,-8,-2,-1,--,--,
基本每股收益,0.59,0.48,-0.04,1.15,0.18,0.27,-0.14,0.94,0.15,0.81,0.35,0.28,1.03,0.39,0.86,2.04,1.44,
稀释每股收益,0.59,0.48,-0.04,1.15,0.18,0.27,-0.14,0.94,0.15,0.81,0.35,0.28,1.03,0.39,0.86,2.04,1.44,
