报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),142701,93071,53866,180294,137365,91425,53243,170530,125294,83617,47973,154061,112902,76806,44656,145691,107820,137832,129001,114137,104950,
营业收入(万元),142701,93071,53866,180294,137365,91425,53243,170530,125294,83617,47973,154061,112902,76806,44656,145691,107820,137832,129001,114137,104950,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),141469,91590,53202,180004,136713,90147,52509,166112,122462,81318,47042,148997,109999,74201,43651,140416,104982,135179,124910,108867,99984,
营业成本(万元),115147,74095,43993,144768,111098,72909,43233,135991,100491,66575,38799,122262,90433,60638,35785,115280,86172,110487,104384,90609,83374,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1654,1128,644,2017,1583,1088,665,2005,1558,1070,597,1635,809,614,392,1259,1011,1367,1452,1214,1097,
销售费用(万元),18748,12313,6396,25565,18493,12427,6567,21615,15628,10540,5921,18284,13268,9216,5330,16495,12197,16103,13150,11795,10264,
管理费用(万元),3608,2488,1225,5300,3893,2606,1361,4417,3201,2120,1111,4035,3187,2063,1162,3710,2741,3761,3037,3253,2719,
财务费用(万元),2313,1566,805,2163,1517,993,537,1922,1405,906,481,2590,2164,1520,815,3520,2683,3343,2815,2032,2559,
资产减值损失(万元),--,--,138,192,129,124,146,161,179,107,133,190,138,150,167,150,178,118,71,-35,-28,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,
投资收益(万元),55,55,55,--,--,--,0,64,64,64,64,100,100,100,100,120,120,151,145,161,428,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1437,1493,772,908,1226,1531,755,5184,2926,2362,995,5164,3004,2705,1105,5396,2958,2804,4236,5431,5393,
营业外收入(万元),86,20,0,73,--,--,--,--,324,138,45,940,1157,192,13,659,448,2001,2856,1168,704,
营业外支出(万元),67,0,--,3,2,--,--,15,19,3,3,--,--,--,0,2,--,24,5,317,40,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,7,3,3,--,--,--,0,0,--,--,1,5,--,
利润总额(万元),1456,1514,772,978,1224,1531,755,5170,3231,2497,1037,6104,4160,2897,1117,6052,3406,4781,7087,6281,6057,
所得税费用(万元),358,372,183,392,324,394,195,1303,841,621,254,1549,1051,720,241,1483,829,1172,1758,1561,1417,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1098,1142,589,586,900,1137,559,3867,2390,1875,783,4555,3109,2178,876,4569,2577,3609,5328,4721,4640,
归属于母公司所有者的净利润(万元),1098,1142,589,586,900,1137,559,3867,2390,1875,783,4555,3109,2178,876,4569,2577,3609,5328,4721,4347,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,292,
基本每股收益,0.1,0.1,0.05,0.05,0.08,0.1,0.07,0.48,0.3,0.23,0.1,0.68,0.39,0.36,0.15,0.76,0.43,0.6,0.89,0.79,--,
稀释每股收益,0.1,0.1,0.05,0.05,0.08,0.1,0.07,0.48,0.3,0.23,0.1,0.68,0.39,0.36,0.15,0.76,0.43,0.6,0.89,0.79,--,
