报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),22826,14484,4871,26879,17038,11043,3997,23539,9746,17523,7617,15435,5032,11760,8746,5078,
营业收入(万元),22826,14484,4871,26879,17038,11043,3997,23539,9746,17523,7617,15435,5032,11760,8746,5078,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),13143,9157,3115,16661,11227,7201,2537,14538,6342,11174,5076,10565,3568,8825,6350,4777,
营业成本(万元),8833,5765,1876,10464,6609,4266,1556,9201,3695,7084,3264,6940,2146,6218,3912,2841,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1412,915,440,1469,1037,673,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),227,166,66,371,217,197,36,295,129,227,66,216,20,166,178,86,
销售费用(万元),992,676,241,1290,824,551,232,1194,449,1103,386,951,354,837,567,460,
管理费用(万元),1843,1225,542,2373,1717,1083,692,3502,1564,2883,1313,2280,1067,1810,1505,1311,
财务费用(万元),-164,-66,-178,-204,-14,-145,-50,125,158,-246,-70,-85,-62,-160,-36,35,
资产减值损失(万元),--,--,129,897,838,576,71,222,347,124,117,263,43,-46,225,44,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),9772,5674,1889,10833,6093,4098,1777,9206,3404,6349,2541,4870,1464,2935,2397,300,
营业外收入(万元),314,230,19,138,133,123,0,31,58,167,5,65,0,255,40,27,
营业外支出(万元),19,9,0,18,7,7,--,25,0,10,--,0,--,43,11,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),10068,5895,1908,10953,6220,4215,1777,9212,3461,6506,2546,4934,1465,3146,2426,327,
所得税费用(万元),1404,825,280,1442,1016,568,301,1424,567,934,431,685,250,477,343,34,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),8664,5070,1627,9511,5204,3647,1476,7788,2895,5572,2115,4250,1215,2670,2083,294,
归属于母公司所有者的净利润(万元),8682,5083,1632,9515,5219,3658,1479,7820,2909,5577,2115,4250,1215,2670,2083,294,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-18,-13,-5,-4,-16,-11,-4,-32,-15,-5,--,--,--,--,--,--,
基本每股收益,0.66,0.38,0.12,0.72,0.39,0.28,0.11,0.59,0.22,0.42,0.16,0.67,0.2,0.44,0.35,0.05,
稀释每股收益,0.66,0.38,0.12,0.72,0.39,0.28,0.11,0.59,0.22,0.42,0.16,0.67,0.2,0.44,0.35,0.05,
