报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),41532,21069,9625,53126,39248,24850,11239,45129,33565,23692,13225,44667,30888,19754,11570,30632,13122,15665,12716,6950,
营业收入(万元),41532,21069,9625,53126,39248,24850,11239,45129,33565,23692,13225,44667,30888,19754,11570,30632,13122,15665,12716,6950,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),36855,20413,10426,49682,35566,22745,10266,41429,29999,20601,11064,38937,26471,16885,8819,26432,12743,13360,10571,6064,
营业成本(万元),21670,11288,5180,28687,20868,13205,6148,22567,16647,11844,6785,21735,14818,9781,5677,14782,5788,5057,4538,2091,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),4233,2642,1465,4830,3781,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),372,253,199,518,344,296,154,379,309,209,97,430,170,125,34,354,63,213,150,100,
销售费用(万元),7374,4083,1854,9850,6875,4354,1864,9103,6279,4470,2115,8916,6063,3506,1646,5657,3149,3768,2600,1825,
管理费用(万元),3130,2049,885,3632,2550,3921,1794,7435,5557,3409,1622,6530,4720,2995,1382,5055,3536,3823,2980,1820,
财务费用(万元),76,99,121,99,-104,-42,46,316,343,238,84,143,138,61,36,44,38,83,73,33,
资产减值损失(万元),--,--,722,2066,1253,1011,260,1629,865,431,362,1184,563,417,45,541,168,416,231,195,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),633,426,228,1103,699,430,193,95,3,3,2,19,4,2,1,68,49,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4779,393,167,5473,5017,2940,1408,5187,4629,3641,2162,5749,4421,2871,2751,4268,429,2306,2145,886,
营业外收入(万元),26,27,6,33,23,10,10,212,30,24,151,1963,1208,291,46,706,493,1201,398,773,
营业外支出(万元),18,14,--,10,9,6,0,20,-66,4,4,185,4,4,2,3,3,29,4,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,1,1,1,12,4,4,2,2,2,18,4,0,
利润总额(万元),4788,406,172,5496,5030,2944,1418,5379,4724,3661,2309,7527,5625,3159,2795,4971,919,3478,2539,1659,
所得税费用(万元),689,-36,-57,648,575,398,168,778,708,490,331,1141,837,427,401,670,64,354,336,208,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4098,442,229,4848,4455,2546,1250,4601,4016,3171,1979,6386,4788,2732,2395,4301,856,3123,2202,1451,
归属于母公司所有者的净利润(万元),4098,442,229,4848,4455,2546,1250,4601,4016,3171,1979,6386,4788,2732,2395,4301,856,3123,2202,1451,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,
基本每股收益,0.3,0.03,0.02,0.35,0.33,0.19,0.14,0.61,0.57,0.46,0.29,0.93,0.7,0.4,0.35,0.73,0.15,--,--,--,
稀释每股收益,0.3,0.03,0.02,0.35,0.33,0.19,0.14,0.61,0.57,0.46,0.29,0.93,0.7,0.4,0.35,0.73,0.15,--,--,--,
