报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),35168,22323,10051,47982,35037,23079,11912,48871,36043,24019,10574,44424,33193,43302,21346,46980,51080,42462,
营业收入(万元),35168,22323,10051,47982,35037,23079,11912,48871,36043,24019,10574,44424,33193,43302,21346,46980,51080,42462,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),32149,20260,9052,45629,32065,20487,10667,44155,31501,20807,9311,38368,28745,37297,18555,40935,45492,37789,
营业成本(万元),27004,17177,7801,36727,26155,17316,8861,35956,26189,17392,7767,31276,23235,29806,14889,33476,37894,32062,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1672,1106,465,2009,1466,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),294,177,82,503,392,268,136,523,378,273,106,489,236,321,159,265,280,189,
销售费用(万元),861,537,248,1367,1067,542,245,1319,650,384,190,790,518,865,402,854,784,657,
管理费用(万元),2165,1251,599,3798,2304,2240,1034,5252,3619,2300,1160,5391,4039,5567,2501,4820,4822,4183,
财务费用(万元),152,11,291,-729,354,-196,518,1016,757,500,184,347,455,642,466,982,1143,967,
资产减值损失(万元),--,--,-435,1954,327,317,-127,88,-92,-43,-96,76,261,98,138,537,569,-269,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),144,85,29,311,195,170,7,73,-18,-4,5,9,-8,-4,-3,-2,--,--,
对联营企业和合营企业的投资收益(万元),5,0,-3,-11,6,2,-6,-10,-1,-4,-6,9,-7,-4,--,-2,--,--,
汇兑收益(万元),--,--,--,--,804,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3673,2615,1073,4532,5908,4450,1369,4971,4524,3261,1269,6065,4440,6002,2788,6043,5588,4674,
营业外收入(万元),9,4,2,0,18,18,--,4,179,0,41,139,119,116,79,227,169,193,
营业外支出(万元),0,0,0,76,11,7,0,8,9,4,3,24,24,5,5,21,92,581,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,1,--,--,19,--,--,--,1,76,24,
利润总额(万元),3681,2619,1075,4456,5915,4461,1369,4967,4694,3257,1306,6179,4535,6113,2862,6249,5664,4286,
所得税费用(万元),459,348,133,776,796,637,163,324,616,476,147,976,835,965,465,918,860,709,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3223,2270,941,3681,5119,3824,1205,4642,4078,2781,1159,5204,3700,5147,2398,5331,4804,3577,
归属于母公司所有者的净利润(万元),3321,2308,930,3925,5250,3845,1220,4760,4112,2783,1158,5198,3698,5124,2392,5338,4804,3577,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-99,-37,11,-244,-131,-21,-15,-118,-33,-2,1,6,2,23,6,-7,--,--,
基本每股收益,0.2,0.14,0.07,0.3,0.4,0.3,0.12,0.57,0.51,0.37,0.15,0.69,0.48,0.68,0.32,0.71,0.64,0.48,
稀释每股收益,0.2,0.14,0.07,0.3,0.4,0.3,0.12,0.57,0.51,0.37,0.15,0.69,0.48,0.68,0.32,0.71,0.64,0.48,
