 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),85419,57043,34064,142051,86180,56828,33644,133663,79679,49860,30573,116078,72576,50439,105250,25646,111159,116036,96861, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,13,--,--,--,--,439,44,--,22,246,--,--,--,100,69,58, 
 收到的其他与经营活动有关的现金(万元),4643,3575,623,3884,3913,2056,1032,3777,3683,2722,1767,3220,2980,2742,2710,1231,4390,3883,3526, 
 经营活动现金流入小计(万元),90062,60618,34687,145948,90093,58884,34677,137440,83801,52627,32339,119320,75801,53181,107959,26877,115650,119988,100445, 
 购买商品、接受劳务支付的现金(万元),34053,27159,17343,74323,48442,27712,12888,71316,39673,22191,11274,53254,30028,22928,45987,10462,48606,58602,47440, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),18219,12692,6825,26610,19028,12778,6869,21282,15598,10414,5705,17430,13101,8946,15548,4554,13963,12012,8790, 
 支付的各项税费(万元),5386,4211,1859,10486,8049,6795,3434,12273,8277,6540,3371,11190,7003,5409,10900,2689,14245,14980,12086, 
 支付的其他与经营活动有关的现金(万元),25781,18030,7762,37008,25018,14994,6746,30255,19142,12339,6073,26872,17596,13129,27979,5586,26715,25248,19887, 
 经营活动现金流出小计(万元),83438,62091,33788,148428,100537,62279,29937,135125,82690,51484,26423,108746,67727,50412,100414,23291,103529,110842,88203, 
 经营活动产生的现金流量净额(万元),6623,-1473,900,-2480,-10444,-3395,4740,2315,1111,1142,5917,10575,8074,2769,7546,3585,12121,9146,12242, 
 收回投资所收到的现金(万元),51519,36451,16200,100090,91622,67727,27862,84055,54398,25650,14220,25418,12650,10750,21955,3163,8761,--,100, 
 取得投资收益所收到的现金(万元),532,405,214,890,690,2012,237,648,310,971,65,166,35,34,132,53,51,--,1, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,7,5,33,6,5,5,12,-51,0,--,1,0,--,2813,0,16,1,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),52059,36863,16420,101013,92318,69744,28104,84716,54657,26621,14285,25585,12685,10784,24900,3217,8827,1,103, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3389,2799,1800,8328,6945,5851,2896,5455,3410,2416,633,3954,1764,1373,8312,1254,3324,11187,3692, 
 投资所支付的现金(万元),51020,27480,10920,99051,87486,59443,36103,108783,84441,50686,12448,25153,17799,10540,20776,2704,12392,--,708, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,300,--,--,--,--,--,--,79,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,725,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),54409,30279,12720,107679,94431,65294,38999,114238,88576,53102,13160,29107,19563,11913,29088,3958,15716,11187,4400, 
 投资活动产生的现金流量净额(万元),-2350,6584,3700,-6666,-2112,4449,-10895,-29522,-33919,-26481,1125,-3522,-6878,-1129,-4188,-741,-6889,-11186,-4297, 
 吸收投资收到的现金(万元),6,--,--,--,--,--,--,39040,38980,38980,60,188,158,60,--,--,--,225,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,60,--,--,60,188,--,60,--,--,--,225,--, 
 取得借款收到的现金(万元),7000,7000,--,13334,9334,4000,--,5000,5000,5000,--,5800,5800,4800,11000,--,6000,19000,3000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),7006,7000,0,13334,9334,4000,0,44040,43980,43980,60,5988,5958,4860,11000,0,6000,19225,3000, 
 偿还债务支付的现金(万元),11000,5000,2000,4334,334,--,--,10100,10503,3003,2000,5000,4000,4000,8000,--,11000,17000,--, 
 分配股利、利润或偿付利息所支付的现金(万元),2687,2581,107,2718,2794,2726,--,1317,1978,2813,37,3948,3660,3825,7218,--,1785,8249,15746, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,171,--,--,--,--,--,--,--,--,--,--,4073, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,910,731,454,--,--,18,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),13687,7581,2107,7052,3128,2726,0,12326,13212,6271,2037,8948,7678,7825,15218,0,12785,25249,15746, 
 筹资活动产生的现金流量净额(万元),-6681,-581,-2107,6282,6206,1274,0,31714,30768,37709,-1977,-2960,-1720,-2965,-4218,0,-6785,-6024,-12746, 
 汇率变动对现金及现金等价物的影响(万元),25,3,-13,31,17,5,-11,-26,-25,-18,-7,76,1,165,321,-36,2,-78,-19, 
 现金及现金等价物净增加额(万元),-2383,4533,2480,-2833,-6333,2333,-6166,4480,-2065,12353,5058,4169,-522,-1159,-540,2809,-1552,-8143,-4821, 
 加:期初现金及现金等价物余额(万元),10307,10307,10307,13140,13140,13140,13140,8660,8660,8660,8660,4491,4491,4491,5030,5030,6582,14725,19546, 
 期末现金及现金等价物余额(万元),7925,14840,12787,10307,6807,15473,6974,13140,6595,21013,13718,8660,3969,3332,4491,7839,5030,6582,14725, 
 净利润(万元),--,-2180,--,2825,--,1584,--,7699,--,2318,--,7735,--,1830,7526,1258,8437,11273,12964, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,2703,--,4591,--,2655,--,4085,--,2291,--,4026,--,2242,3523,856,2883,3297,1901, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,548,--,1361,--,408,--,1082,--,698,--,1092,--,540,1078,272,941,883,658, 
 无形资产摊销(万元),--,387,--,748,--,337,--,559,--,251,--,481,--,240,487,115,266,204,77, 
 长期待摊费用摊销(万元),--,1077,--,1653,--,903,--,1198,--,654,--,1246,--,672,1358,387,1347,1035,573, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,23,--,-5,--,-7,--,16,--,0,--,2,--,0,-279,0,9,7,2, 
 固定资产报废损失(万元),--,5,--,2,--,1,--,10,--,1,--,--,--,--,--,0,--,0,0, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,205,--,-347,--,157,--,149,--,39,--,194,--,67,201,-28,91,617,10, 
 投资损失(万元),--,-177,--,-280,--,-390,--,-376,--,21,--,11,--,54,-7,-53,-51,0,-1, 
 递延所得税资产减少(万元),--,-120,--,-1717,--,112,--,-607,--,-22,--,-132,--,175,448,96,740,-452,-919, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 存货的减少(万元),--,7191,--,-14455,--,-3693,--,-10099,--,-1801,--,-3838,--,-771,-5388,-23,-2173,-6115,-4902, 
 经营性应收项目的减少(万元),--,-2883,--,-932,--,-4008,--,-2463,--,2078,--,-12,--,1816,-2899,1457,164,1369,-5007, 
 经营性应付项目的增加(万元),--,-8270,--,4077,--,-1454,--,1062,--,-5384,--,-230,--,-4097,1496,-751,-532,-2972,6886, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,18,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 经营活动产生现金流量净额(万元),--,-1473,--,-2480,--,-3395,--,2315,--,1142,--,10575,--,2769,7546,3585,12121,9146,12242, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),7925,14840,12787,10307,6807,15473,6974,13140,6595,21013,13718,8660,3969,3332,4491,7839,5030,6582,14725, 
 现金的期初余额(万元),10307,10307,10307,13140,13140,13140,13140,8660,8660,8660,8660,4491,4491,4491,5030,5030,6582,14725,19546, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-2383,4533,2480,-2833,-6333,2333,-6166,4480,-2065,12353,5058,4169,-522,-1159,-540,2809,-1552,-8143,-4821, 

