 报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),16894,11850,19125,14917,17099,5400,13171,9698,8839, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),139,139,--,--,--,--,--,260,505, 
 收到的其他与经营活动有关的现金(万元),987,477,665,669,349,147,782,623,68, 
 经营活动现金流入小计(万元),18020,12466,19789,15586,17449,5548,13952,10581,9412, 
 购买商品、接受劳务支付的现金(万元),4785,3471,4867,4458,5197,1132,3656,4945,2291, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4943,3218,6252,4911,6090,1466,4101,2509,2004, 
 支付的各项税费(万元),2777,1869,3566,2680,3907,883,2898,1720,1466, 
 支付的其他与经营活动有关的现金(万元),2139,1447,2271,843,1733,394,2123,3366,2470, 
 经营活动现金流出小计(万元),14645,10005,16956,12891,16927,3875,12779,12540,8232, 
 经营活动产生的现金流量净额(万元),3375,2462,2834,2695,521,1672,1174,-1958,1180, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),14,6,17,10,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9,0,0,64,33,6,60,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),10779,5329,6320,5310,--,--,80,2070,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),10802,5335,6337,5384,33,6,140,2070,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),939,637,3615,2587,2775,1004,1933,805,875, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,300,--,3300,--,--, 
 支付的其他与投资活动有关的现金(万元),10779,5329,6320,5970,--,--,--,1500,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),11718,5966,9935,8557,3075,1004,5233,2305,875, 
 投资活动产生的现金流量净额(万元),-916,-631,-3598,-3174,-3042,-998,-5093,-235,-875, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,5147,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),7500,6500,8200,5300,5500,--,5800,1000,1100, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),1000,1000,--,--,--,--,50,1000,--, 
 筹资活动现金流入小计(万元),8500,7500,8200,5300,5500,0,5850,7147,1100, 
 偿还债务支付的现金(万元),9535,6900,8012,4282,2678,540,1270,1420,590, 
 分配股利、利润或偿付利息所支付的现金(万元),303,214,573,362,355,92,207,79,40, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),94,94,1143,1088,--,--,--,1000,270, 
 筹资活动现金流出小计(万元),9932,7207,9728,5732,3033,632,1477,2499,900, 
 筹资活动产生的现金流量净额(万元),-1432,293,-1528,-432,2467,-632,4373,4648,200, 
 汇率变动对现金及现金等价物的影响(万元),20,-2,9,6,-11,-1,102,21,16, 
 现金及现金等价物净增加额(万元),1047,2121,-2283,-905,-64,41,556,2475,521, 
 加:期初现金及现金等价物余额(万元),1514,1514,3797,3797,3861,3861,3305,829,308, 
 期末现金及现金等价物余额(万元),2561,3635,1514,2892,3797,3902,3861,3305,829, 
 净利润(万元),--,4130,6899,--,--,--,--,--,--, 
