 报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,2015-12-31, 
 销售商品、提供劳务收到的现金(万元),218366,148510,254200,175995,167237,125891,118626, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1163,690,1270,1028,582,329,341, 
 经营活动现金流入小计(万元),219529,149200,255470,177022,167819,126219,118967, 
 购买商品、接受劳务支付的现金(万元),120914,76130,136604,97098,84692,59866,56235, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),67012,44489,75153,53673,62912,51818,40748, 
 支付的各项税费(万元),14051,9735,12918,10486,12674,9100,9040, 
 支付的其他与经营活动有关的现金(万元),8582,5304,13091,10412,6255,4191,3938, 
 经营活动现金流出小计(万元),210558,135657,237766,171669,166534,124974,109961, 
 经营活动产生的现金流量净额(万元),8970,13542,17704,5353,1285,1246,9006, 
 收回投资所收到的现金(万元),--,--,--,--,--,15200,11000, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,63,172, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),190,99,425,244,221,69,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,7,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),190,99,432,244,221,15332,11174, 
