 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),346413,208024,88831,302522,179297,110296,32604,151122,65345,70596,29558,16344,6055,12339,14356,12767, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),15,15,--,155,183,0,--,--,--,--,--,58,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),913,564,157,875,1595,236,75,617,257,472,219,278,222,388,192,137, 
 经营活动现金流入小计(万元),347341,208603,88988,303552,181074,110531,32679,151739,65602,71068,29778,16680,6277,12726,14548,12904, 
 购买商品、接受劳务支付的现金(万元),323074,193048,95189,272617,180640,101826,41490,145699,75294,66747,27704,6936,1481,3146,3434,2694, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7280,4746,2359,8991,6547,4508,2517,7274,3652,6906,3191,6139,2965,5975,5069,4314, 
 支付的各项税费(万元),7041,3781,2353,4673,3703,2283,1545,2639,1544,1113,704,943,456,1423,1041,1232, 
