 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),76830,50247,26348,106978,76546,49379,23491,88338,41016,61800,56173,89913,57710,37408, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),8543,6680,3560,9944,7356,5279,2198,8536,4873,6557,6344,10527,5753,3591, 
 收到的其他与经营活动有关的现金(万元),42510,20986,292,4218,3808,83,86,662,424,607,1129,538,505,903, 
 经营活动现金流入小计(万元),127882,77912,30200,121140,87709,54740,25775,97536,46313,68965,63646,100978,63968,41901, 
 购买商品、接受劳务支付的现金(万元),51789,34503,23918,72654,55299,34008,20805,56734,25382,37535,38872,63395,39649,25434, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),20754,13831,6636,25281,18566,12584,6486,19430,8807,15408,15561,18870,9577,6172, 
 支付的各项税费(万元),2255,1784,1074,2329,1296,984,644,2618,1121,2923,3234,2611,1595,1069, 
 支付的其他与经营活动有关的现金(万元),50002,23839,1821,6390,8030,3170,1536,6125,2570,6068,5684,9649,7357,3365, 
 经营活动现金流出小计(万元),124800,73957,33448,106655,83191,50746,29470,84907,37881,61934,63350,94524,58178,36040, 
 经营活动产生的现金流量净额(万元),3082,3956,-3248,14485,4519,3995,-3695,12629,8433,7031,296,6454,5790,5861, 
 收回投资所收到的现金(万元),27159,21159,8852,64280,47670,38070,29850,46600,14870,3800,11350,7180,22650,17276, 
 取得投资收益所收到的现金(万元),32,26,31,68,-518,40,33,66,10,2,8,7,47,29, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2153,2085,2060,1412,12,30,--,110,15,19,25,21,28,--, 
 处置子公司及其他营业单位收到的现金净额(万元),-61,--,--,--,--,--,--,--,--,-92,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,0,--,--,--,--,74,--,11,104,308,89,--,--, 
