 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),28677,18605,5274,33538,18988,10357,4030,29803,9229,26443,14841,10355,24849,8407,16738,11509,8432, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),186,115,2,311,180,97,1,352,170,437,243,--,223,85,243,185,--, 
 收到的其他与经营活动有关的现金(万元),1999,1366,484,1996,1352,1224,134,1638,534,1172,786,163,381,298,726,111,84, 
 经营活动现金流入小计(万元),30862,20086,5760,35846,20520,11678,4166,31793,9933,28052,15870,10518,25453,8790,17707,11805,8516, 
 购买商品、接受劳务支付的现金(万元),20799,9739,4773,16961,14191,9001,6194,15461,6098,17653,13183,8721,12461,4884,11091,7924,5498, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6015,3927,2251,7246,5493,3883,2317,5814,2982,5918,4568,3109,3739,1833,2031,947,703, 
 支付的各项税费(万元),4197,2760,2185,2782,2232,1378,1080,4043,1174,2364,1832,1225,2525,975,1632,1185,615, 
 支付的其他与经营活动有关的现金(万元),5428,3206,2450,3894,3147,1760,960,3074,1323,4080,3497,1910,2167,612,1723,1400,652, 
 经营活动现金流出小计(万元),36438,19632,11660,30883,25063,16021,10551,28391,11578,30015,23080,14965,20893,8305,16477,11455,7468, 
 经营活动产生的现金流量净额(万元),-5576,454,-5900,4963,-4542,-4344,-6384,3402,-1645,-1963,-7210,-4447,4560,486,1230,350,1048, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,41,--,1000,1000,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,0,--,34,34,34,24,3,15,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,--,3,0,0,0,--,--,2,2,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),3,3,--,11,--,6,--,52,--,--,--,1020,2600,1600,2821,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),3,3,0,13,0,6,0,93,0,1036,1036,1054,2624,1603,2836,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3926,2610,879,3165,2518,1596,311,2697,1355,2672,1378,290,1526,417,2201,1198,178, 
 投资所支付的现金(万元),175,175,175,135,135,135,--,41,--,--,--,--,300,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,147,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,68,--,68,--,--,--,--,--,--,3600,3600,2800,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),4101,2785,1054,3367,2653,1799,311,2738,1355,2672,1378,290,5573,4017,5001,1198,178, 
 投资活动产生的现金流量净额(万元),-4098,-2782,-1054,-3354,-2653,-1792,-311,-2645,-1355,-1636,-342,764,-2950,-2415,-2165,-1198,-178, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,23,--,6390,6390,6390,3981,3981,2494,1500,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,23,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),3000,3000,--,4000,4000,3000,1000,7000,2000,2000,2000,2000,1000,1000,3430,1000,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,1000,58,675,--,--,37,--,--,--,--,300,--,--,--,--, 
 筹资活动现金流入小计(万元),3000,3000,1000,4058,4675,3000,1000,7059,2000,8390,8390,8390,5281,4981,5924,2500,0, 
 偿还债务支付的现金(万元),4000,3000,2000,2000,2000,2000,500,2000,2000,--,--,--,4301,1000,1129,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),409,313,35,1508,1135,1244,1046,137,41,1461,1436,1458,202,73,1878,1211,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),35,--,47,196,1777,--,--,281,196,146,69,--,120,50,163,125,--, 
 筹资活动现金流出小计(万元),4444,3313,2082,3704,4912,3244,1546,2419,2237,1607,1505,1458,4623,1123,3170,1336,0, 
