 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),23416,11093,2637,30622,11523,7209,3527,27433,12276,8172,4249,29674,13533,9092,3158,27124,10353,40562,34113,17838,11251, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1084,792,20,924,582,461,--,1053,807,318,--,1023,807,807,199,1252,1237,941,657,277,--, 
 收到的其他与经营活动有关的现金(万元),1740,1334,514,635,912,622,153,1420,1296,931,247,916,751,431,146,1112,809,1737,1046,649,428, 
 经营活动现金流入小计(万元),26239,13219,3172,32181,13016,8292,3680,29906,14379,9420,4496,31614,15092,10330,3503,29487,12400,43240,35815,18764,11679, 
 购买商品、接受劳务支付的现金(万元),20530,14312,5739,15767,11704,6748,3611,15040,11121,8687,4912,21504,16396,13219,5043,15223,12286,21810,17684,7516,6406, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5695,3796,2058,7219,5615,3774,1944,7243,5568,3641,1780,7052,5234,3394,1559,5552,3833,5073,3979,3391,3140, 
 支付的各项税费(万元),2545,1894,1188,2194,1701,1488,1119,2557,1973,1604,1211,3144,2697,2104,1761,2969,2319,3537,3189,1275,1182, 
 支付的其他与经营活动有关的现金(万元),4847,3826,2354,4297,4326,2487,1301,3785,4143,2820,1700,3675,3336,1946,2512,3649,3054,6174,4464,3313,2072, 
 经营活动现金流出小计(万元),33617,23829,11340,29476,23346,14496,7976,28625,22805,16753,9604,35374,27663,20663,10876,27393,21491,36594,29316,15495,12801, 
 经营活动产生的现金流量净额(万元),-7378,-10610,-8168,2705,-10330,-6204,-4295,1281,-8426,-7332,-5108,-3760,-12571,-10332,-7372,2094,-9091,6647,6499,3269,-1122, 
 收回投资所收到的现金(万元),13000,10000,5000,25800,14600,7200,--,35500,8500,8500,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),122,89,45,178,133,69,--,208,171,113,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,--,--,18,17,14,--,11,2,--,--,0,0,0,--,3,2,8,--,1,20, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),13122,10089,5045,25996,14750,7283,0,35720,8673,8613,0,0,0,0,0,3,2,8,0,1,20, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),205,47,46,2031,331,259,226,3381,3725,3165,2144,2377,618,516,359,508,487,879,331,609,1291, 
 投资所支付的现金(万元),8000,8000,5000,30800,20200,14600,7200,27000,8000,8000,--,8500,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),8205,8047,5046,32831,20531,14859,7426,30381,11725,11165,2144,10877,618,516,359,508,487,879,331,609,1291, 
 投资活动产生的现金流量净额(万元),4916,2042,-1,-6835,-5781,-7576,-7426,5339,-3052,-2552,-2144,-10877,-617,-516,-359,-505,-485,-872,-331,-608,-1271, 
 吸收投资收到的现金(万元),1820,1820,--,--,--,--,--,0,0,--,--,21413,--,--,--,--,--,--,--,--,4700, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,2000,--,--,--,4000,1000,--,--,5550,3050,2050,--,2100,1000,5500,6500,8629,7588, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100, 
 筹资活动现金流入小计(万元),1820,1820,0,2000,0,0,0,4000,1000,0,0,26963,3050,2050,0,2100,1000,5500,6500,8629,12388, 
 偿还债务支付的现金(万元),--,--,--,4000,1000,--,--,5500,3000,2000,--,2150,1100,1100,--,4000,3000,5500,7829,7169,8119, 
 分配股利、利润或偿付利息所支付的现金(万元),319,266,23,592,567,530,45,629,560,523,56,146,84,49,31,195,163,241,2277,381,222, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,11,11,--,224,--,--,--,288,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),319,266,23,4592,1578,541,45,6353,3560,2523,56,2584,1184,1149,31,4195,3163,5741,10106,7550,8341, 
 筹资活动产生的现金流量净额(万元),1501,1554,-23,-2592,-1578,-541,-45,-2353,-2560,-2523,-56,24379,1866,901,-31,-2095,-2163,-241,-3606,1079,4047, 
 汇率变动对现金及现金等价物的影响(万元),142,8,-5,189,205,45,-117,-166,-112,-49,--,170,49,49,--,58,-1,-10,-6,-0,2, 
