 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),98108,69172,36818,142592,107304,72256,38692,137846,99758,62416,30347,118817,55875,115796,55292,105447,95875,71931, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1941,904,313,5420,4979,1386,429,3298,2328,1385,760,6302,2195,3045,1041,2276,5272,5754, 
 收到的其他与经营活动有关的现金(万元),4262,3240,1418,1561,2743,1650,190,2226,1880,1494,388,2673,340,756,2102,402,160,1815, 
 经营活动现金流入小计(万元),104312,73316,38549,149573,115027,75292,39312,143370,103966,65295,31495,127793,58410,119597,58435,108125,101307,79500, 
 购买商品、接受劳务支付的现金(万元),54520,40709,16618,85544,70888,46782,23187,78171,55830,36061,17266,61609,28253,67298,31776,65329,65960,50731, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),20027,13669,6575,26993,19421,12445,5789,24262,17546,11569,5275,20470,10319,17966,8216,15958,12810,10957, 
 支付的各项税费(万元),4766,4087,2234,8200,6082,4332,2772,7990,5763,3222,1957,4642,2711,5565,3915,2887,2200,1850, 
 支付的其他与经营活动有关的现金(万元),9099,6713,3148,10558,11479,6465,2430,10191,7440,4800,2556,8876,4816,9113,4320,10133,7954,6652, 
 经营活动现金流出小计(万元),88412,65179,28574,131296,107871,70024,34179,120614,86579,55653,27054,95598,46099,99941,48227,94307,88923,70191, 
 经营活动产生的现金流量净额(万元),15900,8137,9975,18277,7156,5268,5133,22756,17387,9642,4441,32194,12311,19656,10208,13818,12384,9309, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,33,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),182,154,92,399,156,69,46,12,0,0,--,2,2,41,20,804,30,2952, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1000,--,1000,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,1000,1000,1000,1000,--,--,389,--,374,--,--,--,191,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),182,154,92,1399,1156,1069,1046,12,0,389,0,409,2,1041,20,1995,30,2952, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),25848,17087,7565,51623,37732,25161,8849,35684,24831,20728,9543,58732,23617,20074,5947,11111,7857,15703, 
 投资所支付的现金(万元),70000,--,--,--,--,--,--,--,--,--,--,--,--,--,2461,--,1538,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,79,7286, 
 支付的其他与投资活动有关的现金(万元),--,--,--,2896,--,--,--,1000,--,--,--,1037,387,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),95848,17087,7565,54519,37732,25161,8849,36684,24831,20728,9543,59768,24004,20074,8408,11111,9474,22989, 
 投资活动产生的现金流量净额(万元),-95665,-16933,-7472,-53120,-36576,-24092,-7803,-36672,-24831,-20338,-9543,-59359,-24002,-19034,-8388,-9116,-9444,-20037, 
 吸收投资收到的现金(万元),--,--,--,79887,79887,79887,--,--,--,--,--,--,--,30000,--,1325,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),106068,24725,4500,16439,16439,16439,12950,67829,51982,31992,11423,40284,13960,35433,25649,56912,58486,49621, 
 发行债券收到的现金(万元),--,78800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),3619,--,--,4957,2172,--,--,3724,193,3587,--,2307,--,579,324,--,--,--, 
 筹资活动现金流入小计(万元),109687,103525,4500,101283,98498,96326,12950,71553,52174,35579,11423,42591,13960,66012,25973,58237,58486,49621, 
 偿还债务支付的现金(万元),11346,5267,2214,46322,41817,34909,8745,39963,31435,18843,9601,11549,4588,60331,31335,57848,56467,38357, 
 分配股利、利润或偿付利息所支付的现金(万元),8574,7849,503,3132,2435,1785,746,6021,5087,4467,555,3460,2814,1875,1128,2117,1816,1833, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),4855,2972,84,5913,5906,5833,4838,510,500,458,297,6261,34,862,58,1017,--,101, 
 筹资活动现金流出小计(万元),24775,16088,2800,55367,50158,42527,14329,46493,37023,23768,10453,21270,7436,63068,32520,60982,58283,40291, 
 筹资活动产生的现金流量净额(万元),84911,87436,1700,45916,48340,53799,-1380,25060,15151,11811,971,21321,6524,2945,-6547,-2745,203,9331, 
 汇率变动对现金及现金等价物的影响(万元),-29,-109,-307,35,116,-56,-11,19,97,60,77,239,197,615,22,-39,-113,12, 
 现金及现金等价物净增加额(万元),5117,78531,3895,11109,19036,34920,-4061,11163,7804,1174,-4054,-5604,-4970,4181,-4705,1918,3029,-1385, 
 加:期初现金及现金等价物余额(万元),27362,27362,27362,16254,16254,16254,16254,5091,5091,5091,5091,10694,10694,6513,6513,4595,1566,2951, 
