 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),26299,16393,13070,34760,25591,16965,7562,34273,27603,17299,8988,34120,25225,32903,16556,33937,33994,25054, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),463,487,162,1298,450,13,167,282,91,91,52,115,115,49,104,81,99,150, 
 收到的其他与经营活动有关的现金(万元),1907,256,1332,1576,685,560,375,367,906,121,86,315,218,632,357,465,512,8438, 
 经营活动现金流入小计(万元),28669,17136,14564,37634,26726,17538,8103,34921,28600,17510,9127,34550,25558,33583,17017,34484,34605,33642, 
 购买商品、接受劳务支付的现金(万元),18437,11853,8371,17936,13931,8579,3953,17003,12872,7891,4598,11657,8547,11850,6376,14582,20442,15898, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5920,3946,2254,7324,5586,3865,2029,6908,5300,3475,1868,6591,5352,6409,3331,6130,5548,4377, 
 支付的各项税费(万元),1005,671,455,2183,1648,619,490,2651,2527,1319,286,2788,2549,3164,1429,2624,2396,1811, 
 支付的其他与经营活动有关的现金(万元),2651,1886,2356,4917,2668,1477,682,3436,3336,1272,639,3579,3467,3094,1873,3795,4204,3949, 
 经营活动现金流出小计(万元),28013,18357,13436,32359,23834,14539,7154,29998,24036,13957,7392,24615,19917,24517,13010,27132,32590,26034, 
 经营活动产生的现金流量净额(万元),656,-1220,1128,5275,2892,2999,949,4924,4564,3554,1735,9935,5641,9066,4007,7352,2014,7607, 
 收回投资所收到的现金(万元),--,6000,--,17000,--,--,--,213,213,213,255,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),108,84,--,321,195,168,7,93,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),6954,3320,2219,104,100,--,--,26,21,18,2,8,8,27,3,44,8,164, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),30,--,3532,--,--,--,--,--,313,313,313,958,958,0,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),7093,9405,5751,17425,295,168,7,332,547,545,571,966,966,28,3,44,8,164, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5035,3625,2327,7776,4443,2702,1635,3114,2258,1096,468,5403,1642,4430,828,694,2881,2136, 
 投资所支付的现金(万元),10224,5500,--,17000,--,2000,2000,6000,8000,680,680,400,400,--,--,651,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,367,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),436,436,--,--,--,--,--,--,--,--,--,214,206,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),15695,9561,2327,24776,4443,4702,3635,9480,10258,1776,1148,6018,2248,4430,828,1345,2881,2136, 
 投资活动产生的现金流量净额(万元),-8602,-157,3424,-7350,-4148,-4534,-3628,-9148,-9710,-1231,-577,-5052,-1283,-4402,-825,-1301,-2873,-1971, 
 吸收投资收到的现金(万元),148,--,--,--,--,--,--,29620,25958,320,--,200,--,--,--,151,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),26920,7000,5000,26500,20900,12100,--,24500,21900,15500,8900,22356,16856,21400,10600,16600,19700,26350, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,180,1180,1180,--,1081,1781,1781,381,1462,1079,2650,2350,19290,23850,25000, 
 筹资活动现金流入小计(万元),27068,7000,5000,26680,22080,13280,0,55201,49640,17601,9281,24018,17936,24050,12950,36041,43550,51350, 
 偿还债务支付的现金(万元),30320,8500,5500,26500,20900,12100,2000,24200,21600,13800,6800,24456,17400,19600,10600,16100,18600,22550, 
 分配股利、利润或偿付利息所支付的现金(万元),2498,2186,193,2147,1979,1558,176,4659,4485,4308,2021,1384,610,5308,4636,2015,1060,7870, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,180,2017,4482,2374,4662,1771,1771,--,1914,1211,3529,2712,22390,23923,22300, 
 筹资活动现金流出小计(万元),32818,10686,5693,28827,24896,18140,4549,33521,27856,19880,8821,27754,19221,28438,17949,40505,43582,52720, 
