报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),7925,14840,12787,10307,6807,15473,6974,13140,6595,21013,8660,4491,7839,5030,6582,14725,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),20330,11840,6000,5000,12000,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,26,62,--,
应收账款(万元),7251,6187,8585,8684,9034,6115,7142,8508,6533,5727,6741,7329,3461,4982,5066,6409,
预付款项(万元),2158,5554,2980,2456,5046,7103,4151,2549,4892,5143,2714,2293,2152,1635,2051,4015,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,7102,--,6960,6068,5098,4232,4050,3378,3389,3274,3220,3405,3440,3121,3011,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),32575,29516,31958,37775,36024,29654,24386,27845,26001,21164,21751,21840,18903,19816,20502,17769,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,63,--,--,
其他流动资产(万元),--,3,9531,15811,7346,15953,34273,26000,32024,26292,2000,2265,3372,3768,--,--,
流动资产合计(万元),76740,75042,78955,86993,82325,79396,81157,82093,79423,82728,45140,41437,39132,38761,37384,45929,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,2250,2250,2250,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,200,200,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),211,226,297,453,704,877,761,761,932,961,322,489,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,25867,--,25461,--,20792,--,20428,--,18703,18399,17482,--,13320,--,--,
累计折旧(万元),--,9477,--,8929,--,8013,--,7704,--,7821,7149,6111,--,5193,--,--,
固定资产净值(万元),--,16390,--,16532,--,12779,--,12724,--,10882,11250,11370,--,8127,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,16390,--,16532,14481,12779,12719,12724,12477,10882,11250,11370,7893,8127,8116,5679,
在建工程(万元),--,3481,--,2589,4172,5301,3823,2646,1750,3101,2170,43,8,1064,71,215,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),9704,9876,10071,10378,10218,9845,9995,9863,10001,9508,9670,9968,10104,8706,8865,1103,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
