报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),16263,16111,14589,17259,18073,16862,25927,22863,15845,29790,12058,7058,2671,12900,7915,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,2318,2318,2318,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),46052,44274,43251,50212,29602,30744,22094,26876,27161,23231,26836,19143,18321,12424,19621,
预付款项(万元),3386,2506,2226,1400,1892,1074,1250,1240,1564,1240,613,1549,327,419,959,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,1392,--,1085,1123,745,591,574,482,255,443,341,587,729,684,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),13335,9959,6436,4499,3575,3147,3236,2511,3723,2176,2312,3525,2587,4411,5902,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,8,11,
其他流动资产(万元),9708,4620,10559,2020,14971,16725,15651,14845,12770,4224,3692,2514,4375,270,97,
流动资产合计(万元),90255,81180,80741,78794,69235,69297,68749,68910,61545,60915,45953,34129,28869,31162,35189,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,2000,2000,1600,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),1642,1660,1677,1695,1713,1731,1748,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,2291,--,1976,--,1807,--,3735,--,3710,3658,3479,3452,--,--,
累计折旧(万元),--,1335,--,1235,--,1152,--,1550,--,1508,1392,1190,1021,--,--,
固定资产净值(万元),--,956,--,741,--,655,--,2186,--,2202,2266,2289,2431,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,956,--,741,717,655,445,2186,2196,2202,2266,2289,2431,2583,2577,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),1571,1589,1622,1677,188,194,188,196,175,157,152,587,143,89,100,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),17067,17067,17067,17067,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),271,283,272,287,236,201,255,--,--,--,--,--,--,--,15,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),347,379,336,311,142,170,141,149,142,152,125,200,123,176,94,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,77,
非流动资产合计(万元),23325,23433,22738,21778,4996,4951,4377,2531,2512,2512,2544,3077,2697,2848,2863,
资产总计(万元),113580,104613,103479,100572,74231,74248,73126,71441,64056,63426,48497,37206,31566,34010,38052,
短期借款(万元),15875,7321,7966,60,260,310,160,160,360,1535,5204,3400,990,7747,10387,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),134,--,--,213,--,111,503,303,126,106,642,71,1027,2543,2533,
应付账款(万元),14534,16678,--,16267,--,9849,7767,9118,8156,7285,11808,7244,7828,5865,7906,
预收账款(万元),1245,922,1146,990,848,1007,1399,1077,558,636,1189,847,210,464,183,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1818,2225,2562,3132,1596,1967,1862,2346,1201,1685,1894,1484,959,762,945,
应交税费(万元),3615,3245,3243,4535,2513,2294,2549,2156,2614,2772,2820,2343,2237,1149,2623,
应付利息(万元),68,11,29,0,--,0,1,0,1,4,16,5,2,60,63,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,8046,--,11005,3505,3824,4071,3592,492,366,738,889,610,532,103,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),44497,38448,36105,36201,17236,19362,18311,18752,13506,14390,24312,16283,13863,19123,24744,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,220,220,220,220,220,320,320,320,100,--,--,--,--,
递延所得税负债(万元),198,253,260,272,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),198,253,480,492,220,220,220,320,320,320,100,0,0,0,0,
负债合计(万元),44695,38701,36585,36693,17456,19582,18531,19072,13826,14710,24412,16283,13863,19123,24744,
实收资本(或股本)(万元),13041,13041,13041,13041,13023,13023,7661,7661,7536,7536,5652,5652,5652,5652,5652,
资本公积(万元),27448,27234,27021,26808,25777,25569,30723,30515,27842,27842,6971,6971,6971,6971,6971,
减:库存股(万元),2063,2063,2063,2063,2677,2677,2677,2677,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),3414,3414,3414,3414,2532,2532,2532,2532,1829,1829,1829,1317,896,545,406,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),23596,21360,21828,19304,17585,15710,15890,13895,12603,11113,9262,6275,3886,1467,271,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),65436,62986,63242,60504,56240,54156,54129,51926,49810,48319,23714,20215,17406,14635,13300,
少数股东权益(万元),3449,2925,3651,3376,535,510,467,443,421,397,371,708,298,251,7,
所有者权益(或股东权益)合计(万元),68885,65912,66893,63880,56775,54666,54595,52368,50230,48716,24085,20923,17703,14887,13308,
负债和所有者权益(或股东权益)总计(万元),113580,104613,103479,100572,74231,74248,73126,71441,64056,63426,48497,37206,31566,34010,38052,		
  
