报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),2561,3635,2514,3857,3990,3949,3383,1215,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),5880,6051,6981,5747,2215,2733,1524,988,
应收账款(万元),14196,13985,11529,11222,8175,9656,7016,6119,
预付款项(万元),155,137,159,178,141,191,137,78,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),--,--,--,259,235,281,81,403,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),6463,6033,5760,4956,4069,3530,2077,2135,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),631,534,1084,1052,572,567,281,198,
流动资产合计(万元),30193,30702,28162,27270,19397,20907,14499,11137,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),1559,1582,1628,894,928,1808,--,--,
固定资产原值(万元),20408,19911,17737,--,--,--,--,--,
累计折旧(万元),4510,4197,3375,--,--,--,--,--,
固定资产净值(万元),15898,15714,14363,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),15898,15714,14363,7820,6304,5117,5458,2516,
在建工程(万元),--,--,--,4681,2310,1378,345,--,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),2674,2714,2795,3016,3190,3194,3485,801,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),106,85,97,174,140,145,124,68,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),259,250,269,237,231,259,145,82,
其他非流动资产(万元),1503,1523,1292,926,1693,1047,193,129,
非流动资产合计(万元),24590,23457,21841,17748,14796,12950,9750,3598,
资产总计(万元),54783,54159,50003,45019,34193,33857,24249,14734,
短期借款(万元),5865,7000,5400,4412,1350,1890,360,780,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),350,629,858,200,264,630,--,624,
应付账款(万元),4043,4157,3046,5112,3084,2965,1918,3739,
预收账款(万元),35,41,10,20,18,25,33,103,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),406,383,585,750,318,679,447,504,
应交税费(万元),1192,867,1243,1588,1220,1334,985,720,
应付利息(万元),--,9,13,13,6,5,1,1,
应付股利(万元),--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),--,476,29,84,31,51,98,251,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,500,2500,800,685,480,3193,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),12386,14062,13684,12979,6977,8060,7034,6722,
长期借款(万元),--,--,--,2500,2600,2800,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,280,--,
