报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),29795,34973,24888,16442,16573,13340,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),--,--,3897,7286,1350,2357,
应收账款(万元),106727,86271,111773,92457,70629,52543,
预付款项(万元),5971,2584,2220,1395,1256,596,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),6696,4646,--,1958,888,919,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),10399,12981,7299,6376,2926,2182,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),632,497,498,127,369,9541,
流动资产合计(万元),161423,148107,155074,126041,93991,81479,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,235,235,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),27,11,--,34,46,--,
长期股权投资(万元),260,155,167,38,66,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),4907,4768,--,--,--,--,
累计折旧(万元),2667,2473,--,--,--,--,
固定资产净值(万元),2240,2295,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),2240,2295,--,1590,576,410,
在建工程(万元),--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),720,645,628,541,414,259,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),117,117,117,--,--,--,
长期待摊费用(万元),416,429,483,189,218,307,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),2414,2219,1484,1105,751,477,
其他非流动资产(万元),1391,513,652,249,51,5,
非流动资产合计(万元),10884,9682,6231,3982,2122,1459,
资产总计(万元),172307,157789,161305,130023,96113,82938,
短期借款(万元),--,--,--,3000,3000,5000,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),1527,3868,4288,--,--,161,
应付账款(万元),42500,33300,40113,28429,11758,7294,
预收账款(万元),903,223,149,193,24,267,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),5182,4777,8479,6974,5644,5221,
应交税费(万元),2210,2950,6061,4583,5579,5405,
应付利息(万元),--,--,--,4,4,7,
应付股利(万元),--,--,--,--,--,9240,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),428,678,--,582,473,206,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),4942,3618,3794,2772,2826,2216,
流动负债合计(万元),57691,49414,63161,46537,29307,35015,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,
递延所得税负债(万元),766,766,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),766,766,0,0,0,0,
负债合计(万元),58457,50180,63161,46537,29307,35015,
实收资本(或股本)(万元),38090,38090,38090,38090,37440,500,
资本公积(万元),17054,17054,17054,17054,13877,500,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),3511,3511,3641,1876,702,273,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),52817,46557,39223,26331,14551,46253,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),113771,107511,98008,83351,66571,47526,
少数股东权益(万元),80,98,136,136,235,397,
所有者权益(或股东权益)合计(万元),113850,107609,98144,83487,66806,47923,
负债和所有者权益(或股东权益)总计(万元),172307,157789,161305,130023,96113,82938,		
  
