报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),78962,31360,14660,27857,2830,18471,3275,18404,7408,19285,6134,4212,4365,4143,6032,6167,
结算备付金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),19578,18485,12782,9170,--,--,2865,6287,4763,3680,1372,92,28,60,77,9,
应收账款(万元),6710,5463,6774,4543,--,--,6728,3172,2365,1878,1961,775,109,120,185,102,
预付款项(万元),57635,36824,52869,35178,53836,33462,40831,28413,27119,10698,4212,1635,330,179,231,462,
应收保费(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,355,--,439,971,594,699,343,399,308,346,175,203,85,103,143,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
存货(万元),3732,1660,2928,2721,2365,1981,3944,2042,4134,6136,2359,1243,628,287,163,263,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),930,583,958,498,884,861,885,254,446,700,180,208,246,245,47,142,
流动资产合计(万元),168118,94731,91683,80406,70557,67002,59226,58914,46635,42684,16564,8340,5910,5119,6838,7287,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,200,200,200,200,200,200,884,884,884,1100,200,200,--,--,
持有至到期投资(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),38,38,39,38,20,20,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,3509,--,--,--,--,--,--,--,--,--,--,--,--,2957,2737,
累计折旧(万元),--,1292,--,--,--,--,--,--,--,--,--,--,--,--,683,552,
