报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),18601,20291,17097,21273,15509,17824,21677,23023,13971,21968,18307,23438,11582,5815,4315,4397,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2176,1337,3512,3673,--,--,2306,2966,537,1163,1793,361,209,1412,433,733,
应收账款(万元),31202,27083,28031,24862,--,--,16775,15696,19598,13002,11726,10210,8393,7621,8365,5460,
预付款项(万元),505,403,483,423,278,229,118,161,144,131,717,828,802,660,638,661,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,59,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,307,--,467,321,347,370,252,398,581,319,274,324,283,358,400,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),8330,7024,7315,7200,9141,8441,8486,6353,7210,6362,3806,3051,3118,3504,3735,2192,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),336,252,98,19,255,19,9,9,7,2,--,--,--,--,--,--,
流动资产合计(万元),61527,56697,56824,57916,51831,48868,49741,48461,41923,43208,36668,38163,24428,19295,17844,13842,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1149,1050,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,769,660,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,380,390,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,4039,--,2185,1764,1184,1138,1196,1307,1218,1542,873,926,940,380,390,
在建工程(万元),--,2349,--,475,348,682,624,624,623,619,616,528,502,422,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),335,324,325,330,331,321,318,320,322,329,324,318,322,310,319,325,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),43,52,61,70,79,87,96,104,122,140,139,75,--,--,11,29,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),893,871,810,772,660,618,552,546,512,400,267,256,207,222,232,165,
其他非流动资产(万元),532,532,2788,1032,532,532,532,532,532,643,--,--,--,--,--,--,
非流动资产合计(万元),8467,8167,7343,4864,3713,3423,3259,3323,3418,3349,2889,2049,1958,1895,942,908,
资产总计(万元),69993,64864,64167,62780,55545,52291,53000,51783,45341,46557,39557,40212,26385,21190,18785,14750,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),8396,7144,5149,5944,--,--,6364,4920,5750,5072,4086,3859,2346,2505,3317,1812,
预收账款(万元),3345,3640,5730,4595,4147,4114,3317,3828,2918,2514,1831,1745,1089,1157,815,730,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1142,1007,865,968,881,771,523,697,348,502,284,397,244,256,104,110,
应交税费(万元),945,807,1716,1976,508,615,1387,2342,1109,1996,584,1330,233,906,498,495,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,1719,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,96,--,145,65,138,20,61,63,139,63,102,4775,32,216,46,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),1385,1097,1333,1384,857,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),15316,13792,16551,15013,12051,10338,11611,11848,10188,10224,6847,7433,8687,4856,4950,3193,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),98,124,149,176,203,230,256,283,337,391,445,448,453,303,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,475,280,
非流动负债合计(万元),98,124,149,176,203,230,256,283,337,391,445,448,453,303,475,280,
负债合计(万元),15415,13915,16700,15189,12254,10567,11867,12132,10525,10615,7292,7880,9140,5159,5425,3473,
实收资本(或股本)(万元),13224,13224,13224,13224,13224,13224,13224,13224,13224,13224,13224,6612,6000,6000,6000,6000,
资本公积(万元),5745,5745,5745,5745,5745,5745,5745,5745,5745,5745,5745,12357,917,917,917,917,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),3403,3403,3403,3403,2471,2476,2476,2476,1662,1662,1091,1091,738,738,471,250,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),32042,28442,24992,25079,21715,20206,19614,18134,14039,15096,12205,12272,9590,8375,5972,4111,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),54498,50861,47372,47492,43203,41631,41034,39548,34695,35807,32265,32332,17245,16030,13361,11277,
少数股东权益(万元),81,87,95,100,88,92,99,103,120,135,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),54579,50948,47467,47592,43291,41723,41133,39652,34815,35942,32265,32332,17245,16030,13361,11277,
负债和所有者权益(或股东权益)总计(万元),69993,64864,64167,62780,55545,52291,53000,51783,45341,46557,39557,40212,26385,21190,18785,14750,		
  
