报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),33433,108647,31257,27362,38095,55990,17026,16269,6414,8810,8958,10694,31822,6837,4595,1566,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),70000,--,--,--,--,--,--,--,--,--,21,--,--,119,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),3940,1163,3278,863,1559,893,3552,537,77,--,4838,676,2556,1576,422,700,
应收账款(万元),30241,30398,32855,35017,32238,31078,27194,36100,32462,31077,19978,29280,29024,28850,28671,22583,
预付款项(万元),1408,1086,773,469,843,297,1193,576,240,394,567,353,1977,413,441,351,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,1503,--,3514,3576,1975,807,1741,786,737,1290,179,267,1211,117,204,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),21813,18061,17347,17919,21870,18831,21009,16245,14031,14682,11724,9053,8689,8751,6868,7766,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),11484,11749,11047,10259,9544,11103,10448,9046,7639,5757,1764,332,390,325,182,2090,
流动资产合计(万元),173835,172608,99030,95404,107724,120168,81230,80513,61649,61458,49139,50568,74725,48081,41297,35261,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1546,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,219084,--,206828,--,186042,--,169548,--,139469,--,99296,--,93086,90545,74333,
累计折旧(万元),--,82251,--,74323,--,67115,--,61233,--,50989,--,43519,--,36999,31899,25076,
固定资产净值(万元),--,136834,--,132505,--,118927,--,108316,--,88480,--,55777,--,56087,58646,49256,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,136834,--,132505,118197,118927,109115,108316,94689,88480,56716,55777,54784,56087,58646,49256,
在建工程(万元),--,34538,--,33247,39503,36073,29089,26665,28162,29882,20115,7122,3309,2848,2162,11209,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),9947,10042,10120,10127,9918,9980,7123,7111,7123,7150,7203,4049,4076,3884,3977,4031,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),8799,9798,10120,9777,9182,7946,7601,6790,5411,4821,3184,2144,1369,1045,1603,834,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),5134,5047,4374,4356,3730,3298,2750,2524,1572,873,569,623,471,278,240,577,
其他非流动资产(万元),3488,3023,2851,2688,3881,3113,4751,1827,3650,581,9796,6981,798,179,79,--,
非流动资产合计(万元),202076,199283,195057,192700,184410,179336,160430,153232,140606,131787,97584,76695,64807,64321,68253,65909,
资产总计(万元),375911,371891,294087,288104,292134,299504,241659,233745,202255,193244,146724,127263,139533,112402,109549,101170,
短期借款(万元),22468,24725,4500,942,2403,6826,27956,27155,21456,28303,13986,2500,27072,29810,25405,28297,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),27667,23327,--,33476,--,37879,39327,40100,32782,40633,28059,20535,22494,21814,27693,29790,
预收账款(万元),2601,2269,3066,2374,2517,5923,5607,3449,2267,2533,377,584,1343,2418,558,130,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2125,1931,1997,2229,2146,1984,1934,1918,1800,1774,1533,1603,1385,1214,1060,747,
应交税费(万元),885,513,1500,1713,1768,1561,1088,2199,2089,1772,335,1086,1512,1443,324,86,
应付利息(万元),362,221,--,152,245,281,311,272,241,301,204,124,191,316,87,69,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,413,--,1084,--,438,568,671,505,400,191,136,29529,2767,219,183,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),9925,7591,8617,7587,8693,8556,2955,3071,2845,2618,2677,3612,5941,7233,1000,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),66438,60991,54600,49557,53605,63448,79746,78834,63984,78334,47362,30180,89468,67014,56347,59302,
长期借款(万元),26558,29937,31774,34270,36254,38282,44866,41920,33709,14360,8488,9399,818,2471,14051,10253,
应付债券(万元),59109,58121,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),858,887,251,261,271,281,291,399,454,171,241,306,--,--,--,--,
递延所得税负债(万元),58,32,4,4,5,5,6,6,8,10,16,16,34,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,25,--,--,
非流动负债合计(万元),86582,88977,32028,34535,36530,38568,45162,42325,34170,14540,8745,9722,852,2495,14051,10253,
负债合计(万元),153020,149969,86628,84092,90135,102016,124908,121159,98154,92874,56107,39902,90320,69510,70398,69555,
实收资本(或股本)(万元),22000,22000,22000,22000,22000,22000,16500,16500,16500,16500,16500,16500,15000,15000,5300,5300,
资本公积(万元),120984,120984,120984,120984,120984,120984,47591,47591,47591,47591,47591,47591,19703,19703,--,--,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2689,2614,2545,2433,2312,2170,2070,1945,1616,1339,690,690,393,228,3352,3053,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),56428,55535,61893,58555,56662,52303,50571,46520,38355,34895,25801,22549,14101,7957,24837,18359,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),222892,221922,207459,204013,201999,197488,116751,112585,104101,100371,90616,87361,49213,42892,33489,26712,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,5663,4904,
所有者权益(或股东权益)合计(万元),222892,221922,207459,204013,201999,197488,116751,112585,104101,100371,90616,87361,49213,42892,39151,31615,
负债和所有者权益(或股东权益)总计(万元),375911,371891,294087,288104,292134,299504,241659,233745,202255,193244,146724,127263,139533,112402,109549,101170,		
  
