报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),16247,12133,14238,14344,20446,11412,19850,26765,40522,11127,11160,9376,6309,7252,4740,1833,907,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1336,275,1036,1294,592,1245,730,993,797,1510,784,2580,949,1314,620,1124,378,
应收账款(万元),27868,25439,26141,28148,29308,29051,26554,25326,24946,23669,25218,21737,20831,8881,7206,6624,3930,
预付款项(万元),1099,1056,907,511,1329,764,997,384,320,368,426,382,74,76,56,90,83,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),55,110,249,305,--,294,243,159,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,1209,--,1152,2104,3565,1473,1430,1467,1240,1065,767,597,567,264,246,152,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),13301,12185,11979,11605,11971,11212,9621,10083,8402,8446,7818,9402,6239,5575,2381,1765,846,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,20,20,26,26,1,2,5,17,--,1,4,0,--,
其他流动资产(万元),25038,25023,21002,25002,16200,22000,14000,12000,--,--,--,--,--,117,--,--,--,
流动资产合计(万元),86216,77431,77372,82361,81969,79563,73495,77166,76455,46362,46476,44260,34999,23784,15270,11682,6296,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,0,850,850,850,850,350,350,350,350,350,250,1000,1000,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1027,1027,1027,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,3864,--,3417,--,3010,--,2739,--,--,2388,2285,2030,--,1389,--,--,
累计折旧(万元),--,2233,--,1961,--,1712,--,1501,--,--,1184,1086,718,--,404,--,--,
固定资产净值(万元),--,1631,--,1456,--,1298,--,1238,--,--,1204,1199,1312,--,985,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,1631,--,1456,1348,1298,1177,1238,1210,1272,1204,1199,1312,1299,985,572,245,
在建工程(万元),--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),9256,6176,6231,3006,1508,199,204,130,101,56,40,45,39,18,24,12,10,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),314,372,235,248,145,9,5,13,--,--,--,0,97,118,180,50,182,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),951,1006,957,855,742,716,612,580,417,445,425,379,209,188,185,127,16,
其他非流动资产(万元),--,--,--,--,--,200,700,700,--,--,--,--,--,--,--,363,--,
非流动资产合计(万元),14056,11062,10888,6415,4594,3271,3049,3011,2079,2123,2019,1873,2657,2622,1374,1124,453,
资产总计(万元),100272,88493,88260,88776,86563,82834,76544,80177,78534,48484,48495,46133,37656,26406,16644,12806,6749,
短期借款(万元),7190,6380,7240,5730,6000,6000,--,3095,4816,5045,5870,3400,1895,1985,1000,1690,467,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),3851,2562,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),16282,12234,--,14391,--,13442,12205,11889,9317,10285,10390,11001,11232,6608,2885,1831,1055,
预收账款(万元),2533,3709,3032,2372,1533,1395,1562,1838,2361,1552,1185,1628,431,833,285,79,13,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2015,1186,1622,2407,2438,1804,1297,2140,2177,2169,1700,2401,1906,1127,981,828,654,
应交税费(万元),682,-285,853,1953,832,1275,1097,1879,1581,1297,1147,1619,2785,152,744,836,470,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,1369,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,1000,--,771,339,173,248,501,85,274,399,312,355,48,285,162,91,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),36183,28155,26819,27624,25857,24090,16409,21343,20337,20622,20690,20362,18605,10754,6180,5426,2750,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,155,155,155,--,--,--,80,--,
长期递延收益(万元),78,90,135,173,217,263,309,356,402,446,378,421,599,645,778,739,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),78,90,135,173,217,263,309,356,402,601,533,576,599,645,778,819,0,
负债合计(万元),36260,28245,26954,27797,26074,24352,16718,21699,20739,21223,21224,20937,19204,11399,6959,6244,2750,
实收资本(或股本)(万元),13685,13685,13685,13685,13685,13685,9123,9123,9123,6842,6842,6842,6842,6842,5500,1361,1300,
资本公积(万元),31266,31168,31071,30973,30876,30778,35243,35145,35048,7640,7542,7445,7088,7088,398,398,100,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2020,2020,2020,2020,1521,1521,1521,1521,1061,1061,1061,1061,423,78,797,484,264,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),17031,13375,14531,14301,14407,12497,13938,12689,12563,11718,11826,9847,4100,1000,2990,4318,2336,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),64012,60248,61306,60979,60489,58482,59826,58479,57796,27262,27272,25196,18452,15008,9685,6562,4000,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),64012,60248,61306,60979,60489,58482,59826,58479,57796,27262,27272,25196,18452,15008,9685,6562,4000,
