报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),8930,19076,29275,23836,24437,23962,21603,26833,26132,9783,7869,5149,6609,5030,7906,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),924,1850,369,95,1223,2178,1415,1612,1824,1739,5403,2160,4498,1849,662,
应收账款(万元),13010,13661,12690,14418,13743,12221,13957,12444,12309,12719,13355,15600,13992,13043,10448,
预付款项(万元),614,417,583,323,224,607,593,518,730,595,373,446,197,186,632,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,3708,--,6488,6440,6556,201,401,64,200,143,448,517,424,4235,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),12688,12656,11032,10071,10287,10827,9895,10547,10501,7868,6050,6483,6964,6118,5324,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),11084,5567,3169,6076,6248,8147,8380,6384,8021,249,10,15,9,12,15,
流动资产合计(万元),47862,56935,60373,61308,62601,64497,56045,58738,59581,33153,33204,30301,32785,26663,29221,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),155,150,147,150,151,146,138,144,147,155,145,146,149,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,15446,--,15295,--,13770,--,13655,--,12925,10491,--,10257,--,--,
累计折旧(万元),--,7807,--,7358,--,6873,--,6575,--,5669,4908,--,4211,--,--,
固定资产净值(万元),--,7639,--,7938,--,6897,--,7079,--,7256,5583,--,6046,--,--,
固定资产减值准备(万元),--,24,--,24,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,7615,--,7913,6767,6897,7013,7079,6928,7256,5583,5689,6046,6263,6380,
在建工程(万元),--,9479,--,8064,6273,5766,5719,5661,3537,2390,106,217,50,34,744,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2756,2774,2791,2809,2826,2844,5078,5107,5132,5217,4608,3160,3194,840,861,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,803,803,803,803,803,--,--,--,--,--,--,
长期待摊费用(万元),454,493,575,542,373,371,350,360,167,115,549,697,844,684,21,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),280,276,284,330,356,373,331,384,229,210,294,307,291,234,159,
其他非流动资产(万元),10636,5389,3993,3467,4135,2645,4552,4021,3394,3160,2848,957,341,2618,593,
非流动资产合计(万元),32376,26175,24824,23274,21684,19845,23984,23559,20337,18503,14133,11173,10916,10672,8758,
资产总计(万元),80238,83110,85196,84581,84285,84342,80029,82296,79917,51655,47337,41474,43701,37335,37979,
短期借款(万元),12200,14100,15100,15600,15600,15600,13600,15600,15600,15300,17400,15600,15600,15100,14000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
